BOUND,CREATED_DT,DISTANCE,SPEED,STREET_NAME,multiline
N/A,2018/10/25,,80,STONEY TR NE RAMP,"MULTILINESTRING ((-113.92120570374 51.160368319846, -113.921260491544 51.160260660056, -113.921311899161 51.160152344423, -113.92135990653 51.160043412493, -113.921404495013 51.159933908307, -113.921445647408 51.159823873209, -113.921483347941 51.159713349442, -113.921517582264 51.159602381049, -113.921548334602 51.159491011173, -113.921579105996 51.159355665251, -113.921596697116 51.159278932289, -113.92162788573 51.15916464287, -113.921665045795 51.159051061322, -113.921685853248 51.158994574982, -113.921731440577 51.158883425332, -113.921758785177 51.158812661639, -113.921789056664 51.158742370949, -113.921822232072 51.15867259999, -113.921858292724 51.15860339729, -113.921897209936 51.158534809573, -113.921938959316 51.158466883566, -113.921983512184 51.158399665992, -113.922030839863 51.158333201778, -113.92206952249 51.158281379372, -113.922109633864 51.158229988504, -113.922151163945 51.158179045348, -113.922194098409 51.158128565173, -113.922238422934 51.158078562354, -113.922284127483 51.158029052162, -113.922331196301 51.157980050769, -113.922379615066 51.157931572545, -113.922485254849 51.157837529093, -113.922591042764 51.157743552165, -113.922696980239 51.157649641761, -113.922803065845 51.15755579788, -113.922909299582 51.157462019623, -113.923015681448 51.157368308788, -113.923122211443 51.157274664474, -113.923164220844 51.157237766555, -113.923199476352 51.157206480864, -113.923228888138 51.157181085783))"
N/A,2018/10/30,,40,CROWCHILD TR SW RAMP,"MULTILINESTRING ((-114.113940924736 51.045110928859, -114.113919388079 51.045034732171, -114.113898075487 51.044960903157, -114.11385395051 51.044864531225, -114.113813109809 51.044781489654, -114.113760896843 51.044701537222, -114.113653324412 51.044541159789, -114.11354069138 51.044347413668, -114.113434633256 51.044183405396, -114.113362956618 51.044061005945, -114.113265014243 51.043891861893, -114.113165986395 51.043697734525, -114.113106822136 51.043572562042, -114.11307832868 51.043492313945, -114.113076468735 51.043425954392, -114.113081404392 51.043361014936, -114.113108365865 51.043277146048, -114.113150645761 51.043208602413, -114.113222341948 51.04313503647, -114.113301422221 51.043072166508, -114.113392413622 51.043020345013, -114.113532048789 51.042957416128, -114.113753678518 51.042866934657, -114.113954965636 51.042789317141, -114.114170954675 51.042706690216, -114.114410685067 51.042613335569, -114.114591038971 51.042539662363, -114.115033332637 51.042350644706))"
E,2018/10/30,,60,17 AV SE,"MULTILINESTRING ((-113.942668779287 51.037800459922, -113.941873017711 51.037799611977, -113.940820080897 51.037800200081, -113.939298236566 51.037802647788))"
S,2012/11/01,1.7,60,OLD BANFF COACH RD SW,"MULTILINESTRING ((-114.178228657242 51.056637981474, -114.178290355484 51.056562063557), (-114.180725918877 51.053506970957, -114.180804627393 51.053439720232, -114.180887924099 51.053368786453, -114.180946169885 51.053318694528, -114.180981179122 51.053289058724, -114.181023128471 51.053253114856, -114.181041539006 51.053237627603, -114.181056021826 51.053224437015, -114.181068687449 51.053210867177, -114.181094302504 51.053179337371, -114.181170845085 51.053084749286, -114.181234129009 51.053006785739, -114.181369432569 51.052839584448, -114.181471888715 51.052712894075, -114.181536301176 51.052633448897, -114.181555511791 51.052609658303, -114.181566633035 51.052595883145), (-114.182538031019 51.061225264586, -114.182188835097 51.061051911373, -114.181633744558 51.060776744141, -114.181412696597 51.06066721148, -114.181077682374 51.060520324725, -114.180786811222 51.06037437739, -114.180586432381 51.060276662338, -114.179971613543 51.059954867967), (-114.181566633035 51.052595883145, -114.181582802109 51.052575943977, -114.181604497803 51.052549000412, -114.18162182536 51.052527693898, -114.181653164589 51.052488807764, -114.18166988854 51.052468170118, -114.181693243324 51.052439506919, -114.181706645812 51.052421165013, -114.181724716069 51.052396135581, -114.18174097706 51.052373113668, -114.181756335463 51.052351619613, -114.181774779899 51.052325635781), (-114.184864480929 51.062706339244, -114.184745748829 51.062624485016, -114.184574373473 51.062504887776, -114.184210142214 51.062252755128, -114.183963975364 51.062084789691, -114.183341788202 51.061679288206, -114.183221386555 51.06160320194, -114.183085213665 51.061523297148), (-114.184972590494 51.062780945571, -114.184864480929 51.062706339244), (-114.178290355484 51.056562063557, -114.178357332526 51.056478296715, -114.178463414822 51.056345209143, -114.178514496653 51.056281101831, -114.178597823939 51.056176581368, -114.178638057314 51.056126136078, -114.178698630749 51.056049991319, -114.178759054989 51.055974418501, -114.178840422993 51.055872190539, -114.178880805249 51.055821650542, -114.178936255038 51.055752001381, -114.178980555855 51.055696396831, -114.179061922565 51.055594455483, -114.179143590529 51.05549194097, -114.179227971795 51.055386273136, -114.179299994265 51.055295700867, -114.179405770987 51.055163186424, -114.179480806937 51.055068982958, -114.179534899392 51.055001054423, -114.179624852904 51.054888316304, -114.179752021375 51.054728763522, -114.179812442873 51.054652999563, -114.179868341606 51.054582871899, -114.179938706273 51.054494687647, -114.180222571242 51.054138606807, -114.1803381341 51.053993479995, -114.180443302044 51.053861824038, -114.180603159034 51.053661091824, -114.180690997498 51.053550837289, -114.180725918877 51.053506970957), (-114.183085213665 51.061523297148, -114.182711056933 51.06131079572, -114.182538031019 51.061225264586), (-114.177975784505 51.056956615566, -114.178228657242 51.056637981474), (-114.185247417974 51.062970600582, -114.184972590494 51.062780945571), (-114.181774779899 51.052325635781, -114.18184424997 51.052240988295), (-114.179809436351 51.059875188161, -114.179667500626 51.059802122218, -114.179615794878 51.059774141172, -114.179363395074 51.059649656143, -114.178988856804 51.059465636251, -114.178672464923 51.059305773363, -114.178431537519 51.0591852719, -114.178277362907 51.059098599924, -114.178153679102 51.059022377673, -114.17802444652 51.058934227191, -114.177883180427 51.058814787278, -114.17780029881 51.058734890482, -114.177740776517 51.05866287985, -114.177677995611 51.058583232878, -114.177614606545 51.05848886433, -114.177554495214 51.058368608462, -114.177522411154 51.058285896922, -114.177480758149 51.05813110773, -114.177465359785 51.05793755274, -114.177483343677 51.057787285609, -114.17753000831 51.05762183982, -114.177595709296 51.057467748771, -114.177673805999 51.057339080655, -114.177804236439 51.057175203748, -114.177975784505 51.056956615566), (-114.179971613543 51.059954867967, -114.179809436351 51.059875188161), (-114.188676907716 51.065322327928, -114.188514554909 51.065173295923, -114.187723090649 51.064707434507, -114.187692144544 51.064676027398, -114.187617857983 51.064616154704, -114.187566339011 51.06457830439, -114.187453888296 51.064500876581, -114.187360796399 51.064436517446, -114.187248220283 51.064360369774, -114.187043226137 51.064217195175, -114.18695860392 51.064158118903, -114.186861479349 51.064092122497, -114.186781430374 51.064035968533, -114.186615252584 51.063920815912, -114.18651738827 51.063852970315, -114.186391026065 51.063768215481, -114.18618009381 51.063619356538, -114.185972112284 51.063474185491, -114.185746384673 51.06331795256, -114.185614754581 51.063226225636, -114.185431807146 51.063095788463, -114.185247417974 51.062970600582))"
N/A,2018/10/29,,40,MCKNIGHT BV NE RAMP,"MULTILINESTRING ((-113.98063989425 51.096052350159, -113.980743075201 51.096049766491, -113.980840772974 51.096046212749, -113.980986882129 51.096042391724, -113.981186636936 51.096036931357, -113.981260345457 51.096034746122, -113.981310593152 51.096033579217))"
N/A,2018/10/29,,60,64 AV NE RAMP,"MULTILINESTRING ((-113.972309172406 51.111362284542, -113.972772564987 51.111663483031, -113.972860057397 51.111717184943, -113.972865900551 51.111720865755, -113.972902682601 51.111744036064, -113.972910284811 51.111750842076, -113.972945299828 51.111782188031, -113.972983430775 51.111818925776), (-113.972983430775 51.111818925776, -113.973007546821 51.111856944893, -113.973032796969 51.111897197289, -113.973049330381 51.111929178111, -113.973067002979 51.111966908061, -113.973073268305 51.11198882622, -113.97308010444 51.11201397808, -113.973086937694 51.112041645237, -113.973096596558 51.112072934065, -113.973095068143 51.112100524683, -113.973096564518 51.112128115098, -113.973088988035 51.112160461636, -113.973076877758 51.112191855127, -113.973069308209 51.112214687042, -113.973058712748 51.112239421363, -113.97304963023 51.11226320403, -113.973027126545 51.112300828529, -113.97300878178 51.112330744477, -113.972961775995 51.112421144112, -113.97292396234 51.11246870578, -113.972893516167 51.11250938129, -113.972858920345 51.112551462706, -113.972805787691 51.112619248341, -113.972777241827 51.112653244069, -113.97274572025 51.112691073173, -113.972683632873 51.11276831555, -113.972661496311 51.112800032976, -113.972627691774 51.112860583697, -113.972609196722 51.112892663348, -113.972556258776 51.112987298233, -113.972528832377 51.113035417765, -113.972481635339 51.113118022244, -113.972456759018 51.113164538609, -113.972410837319 51.113244335898, -113.972385324134 51.11329045026, -113.972371932108 51.113312104007, -113.972362288276 51.113330223019))"
W,2018/10/23,,70,COUNTRY HILLS BV NE,"MULTILINESTRING ((-113.975312855788 51.154217228486, -113.977298385648 51.154315148555), (-113.971461637653 51.154217969543, -113.971830789314 51.154191974003, -113.972199547515 51.154177791289, -113.973561789229 51.154175221453, -113.973921078331 51.15418362734, -113.974478924088 51.154198021309, -113.975312855788 51.154217228486))"
S,2012/10/02,,70,52 ST SE,"MULTILINESTRING ((-113.958650820581 50.97755844686, -113.958653228312 50.975887876765), (-113.958653228312 50.975887876765, -113.958653832288 50.975469099649), (-113.958653832288 50.975469099649, -113.958649262929 50.975377632695), (-113.958649262929 50.975377632695, -113.958648444561 50.975293812028, -113.958637204757 50.975222451185, -113.958624108972 50.975121357582, -113.958620503058 50.97508990085), (-113.958620503058 50.97508990085, -113.958611023448 50.975007181961, -113.958605837451 50.974485084273, -113.958599827641 50.97435638446, -113.958595881934 50.973647053886, -113.958580515829 50.973084665377), (-113.958566015666 50.958302868647, -113.958547337097 50.957847483872), (-113.958584167203 50.968572463347, -113.958586970232 50.968090850115), (-113.958586970232 50.968090850115, -113.958602913123 50.965351630101, -113.958610593407 50.963773750102), (-113.958616016468 50.962659379808, -113.958616392462 50.962582264917, -113.958608261486 50.959332773516, -113.958566015666 50.958302868647), (-113.958610593407 50.963773750102, -113.958616016468 50.962659379808), (-113.958583596718 50.968674443119, -113.958584167203 50.968572463347), (-113.958564942924 50.972291046226, -113.958560062377 50.972125809332, -113.95855087898 50.971896653999), (-113.958580515829 50.973084665377, -113.958580369676 50.973079295691, -113.958575934734 50.972920380637, -113.958564936205 50.972423412709, -113.958564942924 50.972291046226), (-113.958578348442 50.969041472598, -113.958583596718 50.968674443119), (-113.95855087898 50.971896653999, -113.958549069619 50.971851495562, -113.958560529537 50.971600836637, -113.958556972865 50.971388008842, -113.958572895687 50.970534593867, -113.958569161776 50.969684000001, -113.958578348442 50.969041472598))"
E,,3.03,60,162 AV SE,"MULTILINESTRING ((-114.103499914895 50.906197996301, -114.103440567641 50.906177368413, -114.103313503223 50.906130428414, -114.103170565655 50.906075047254, -114.102989577808 50.905999760677, -114.102821417107 50.905925274316, -114.102693050104 50.90586859957, -114.102545428114 50.905803018169, -114.102438240347 50.905758955419, -114.102343264771 50.905723344107, -114.102212358831 50.905678028061, -114.102099402398 50.905630263492, -114.101989034526 50.905593854457, -114.10187609977 50.905555823972, -114.101725367218 50.905508341018, -114.101595764026 50.905471136575, -114.101485412795 50.905442027788, -114.101359661231 50.905407253315, -114.101215958559 50.905373305163, -114.101026572443 50.905332229582, -114.100903410986 50.905308809382, -114.100778970697 50.905287013741, -114.100636079614 50.905263789187, -114.100503950056 50.90524443346, -114.100375669403 50.905225073375, -114.100265352623 50.905211377576, -114.10016488692 50.905196733772), (-114.10016488692 50.905196733772, -114.100044056772 50.905183356037, -114.09993246436 50.905172093698, -114.099804193128 50.905157601036, -114.099707258618 50.905149902154), (-114.099707258618 50.905149902154, -114.09957271596 50.905140064196, -114.099472678275 50.905135281409, -114.099332887324 50.905130533262, -114.099225158097 50.905126568599, -114.099114871168 50.905126662273, -114.099064712132 50.905126864864), (-114.099064712132 50.905126864864, -114.099019596677 50.905126622648, -114.098975098119 50.905126304376, -114.098934541145 50.905126160748, -114.098904124009 50.905125830516, -114.098872046033 50.905125412682), (-114.098872046033 50.905125412682, -114.098742392796 50.9051261517, -114.098616716105 50.905125447024, -114.098494881649 50.905122304494, -114.098435822798 50.905122123258), (-114.098435822798 50.905122123258, -114.096819606046 50.905124935546, -114.09609228037 50.905121505315, -114.095865083306 50.905119369975, -114.095641465856 50.905112141151, -114.095494736755 50.905103790021, -114.09533032552 50.905092276994, -114.095157070779 50.905078652912, -114.094967889768 50.90505551128, -114.094672902171 50.905013474698, -114.094501384463 50.904983965686, -114.094164387661 50.904917715913, -114.09356666834 50.90478371845, -114.091574906743 50.904323035175, -114.090262176017 50.904015083513, -114.090042807324 50.90396071265), (-114.090042807324 50.90396071265, -114.089928787407 50.903933837859, -114.089815972585 50.903908083976, -114.089744280779 50.903891217315, -114.089684083866 50.903877283294), (-114.089684083866 50.903877283294, -114.089648369152 50.903869030076, -114.089585598491 50.903854872332, -114.089543988379 50.903844700655), (-114.089543988379 50.903844700655, -114.089353327383 50.903800437253, -114.089114927042 50.90374494108, -114.088903939776 50.903696777332, -114.088570771995 50.903620071152, -114.08827672704 50.903555160731, -114.08809095262 50.903514928061, -114.087876653617 50.903469916831, -114.087310232065 50.903355658734, -114.087036967992 50.903302285334, -114.086741823697 50.903247973717, -114.086495980006 50.903205084335, -114.086049851044 50.903127281399, -114.085804844706 50.903087541822, -114.085423502409 50.903027078129, -114.085165213472 50.902987871941, -114.084779680831 50.902933264359, -114.084499807397 50.902895122396, -114.08417981497 50.902852358191, -114.083928187789 50.902823650123, -114.083525450488 50.902775195398, -114.083245594947 50.902745980137, -114.082810238504 50.902699601302, -114.082556131919 50.902675618953, -114.082193007403 50.90264389878, -114.081933094071 50.902622545129, -114.081638884704 50.902600264647, -114.081412194109 50.902585190357, -114.081029214133 50.902559293312, -114.080789242169 50.90254580207, -114.080429458039 50.902527277647, -114.080196132262 50.902515882458, -114.079680461537 50.902496275125, -114.079418912846 50.902488574533, -114.078817060215 50.902475863333, -114.078551365684 50.902471314575, -114.078311174846 50.902469880209, -114.078013935054 50.902468504159, -114.077719648251 50.902469734272, -114.077503778787 50.902470928695, -114.077245320811 50.902473181153, -114.077096707423 50.90247643126, -114.076971558049 50.902478869201), (-114.076971558049 50.902478869201, -114.076900466508 50.902480473107, -114.076831040162 50.902482304219, -114.076777982225 50.902483410725, -114.076692933262 50.902485606231, -114.076607984696 50.902488341008, -114.076542133051 50.902489632003, -114.076472707263 50.902491820702, -114.076431082985 50.902493084976), (-114.076431082985 50.902493084976, -114.076233509814 50.902499748944), (-114.076233509814 50.902499748944, -114.076175042031 50.902501609369, -114.076104862486 50.902504538214, -114.076020099945 50.902508053668, -114.075954931931 50.902510114326, -114.075921999336 50.902511855524), (-114.075921999336 50.902511855524, -114.074375466323 50.902600462548, -114.073597971289 50.902668490477, -114.072964996719 50.902727764775, -114.072241588176 50.902807607605, -114.071602854403 50.902884195427, -114.071343299132 50.902919938353), (-114.071343299132 50.902919938353, -114.070920783603 50.902978121636, -114.070788851213 50.90300044105), (-114.070788851213 50.90300044105, -114.070741832192 50.903007270448, -114.070692893453 50.903014795014, -114.070619327506 50.903026083269, -114.070504782852 50.903043863603, -114.070464608699 50.903050243753, -114.070408843306 50.903059099237, -114.070403975045 50.903059872612, -114.070310739773 50.903074301035), (-114.070310739773 50.903074301035, -114.070254179948 50.903083405046, -114.070197759733 50.903092710321, -114.070161289571 50.90309845255, -114.070138928319 50.903102069159), (-114.070138928319 50.903102069159, -114.070091665618 50.903109601456, -114.070046687778 50.903117234849, -114.069993842632 50.903126201656, -114.069944211113 50.903134574076, -114.069852445567 50.90314991643, -114.069800294367 50.903159026573, -114.069724444245 50.903171932922, -114.069668027289 50.903181658668, -114.069552814252 50.903201733602), (-114.069552814252 50.903201733602, -114.069518246678 50.903208746575, -114.069477555408 50.903216532722, -114.069423501854 50.903227606336, -114.069370169846 50.9032382282), (-114.069370169846 50.9032382282, -114.069334651659 50.903245633646, -114.069287926198 50.903255148482, -114.069244703693 50.903264538059, -114.069178828071 50.903278347022, -114.069090348915 50.903297441033, -114.069037977344 50.903308684282, -114.068995033533 50.903318164401, -114.068964884007 50.903324807809), (-114.068964884007 50.903324807809, -114.068904770195 50.90333839206, -114.068855694007 50.90334955507, -114.068787171898 50.903365025816, -114.068744993016 50.903375563509, -114.068679251469 50.903390838371, -114.068613962219 50.903406267558, -114.068560564671 50.903418994538, -114.06844279076 50.903448306156, -114.068318554307 50.903478198593, -114.068246330767 50.90349640593, -114.068162235006 50.903517124756, -114.068093714416 50.903533963364, -114.068009291214 50.903554472804, -114.067937374818 50.903571899444, -114.067856415374 50.903590811041, -114.067797462073 50.903605104253, -114.067717631392 50.90362402229), (-114.067717631392 50.90362402229, -114.067629409174 50.903645668191, -114.067563094415 50.903661287071, -114.067477043304 50.903682113514, -114.067409537379 50.903697984714, -114.06732909094 50.903717024205, -114.067257218411 50.90373465627, -114.067168409666 50.903756063925, -114.067103684114 50.903771682529, -114.067049679542 50.90378503217, -114.06697914712 50.903801397508, -114.066916803218 50.903816259485, -114.066852675636 50.903831583635, -114.066791126412 50.903846445091, -114.066727999381 50.90386157172), (-114.066727999381 50.90386157172, -114.066662897095 50.90387741774, -114.066550821113 50.903904055077, -114.066467651966 50.903924558191, -114.066384675037 50.903944310476, -114.066297872388 50.90396527582, -114.066231559916 50.90398113667, -114.066172100952 50.903999478422))"
S,,1.56,60,11 ST SE,"MULTILINESTRING ((-114.04022043351 50.985959402832, -114.040182512479 50.986022006634, -114.04014072817 50.986097163344, -114.040110942558 50.986155068042, -114.040084072899 50.986208649423, -114.040065277248 50.986247198842, -114.04003517674 50.986316761631, -114.040017422107 50.986358575789), (-114.040221878497 50.985957016435, -114.040234997674 50.985935952355, -114.04024624103 50.985918115367, -114.040266838046 50.985886104495, -114.040276561524 50.985871362326, -114.040296539603 50.985841754641, -114.040313206547 50.985817412537, -114.040334498703 50.985787269497, -114.04036503519 50.985745075097, -114.040381360798 50.985723013819, -114.040409163351 50.985686565749, -114.040471474952 50.985608558347, -114.040513017237 50.985559176324, -114.040551283753 50.985514800059, -114.040594748328 50.985466737046, -114.04064076656 50.985417128676, -114.040699660445 50.985356798132, -114.040770921223 50.985287123713, -114.040803874984 50.985255889645, -114.040856104094 50.985208139913, -114.040928570184 50.985144313755, -114.040967720381 50.985111228262, -114.041026115719 50.985063052869, -114.041081775279 50.985018438379, -114.041164902907 50.984951790013, -114.041242498307 50.98488964025, -114.041275677733 50.984863010556, -114.041333524542 50.984816922639, -114.041418884217 50.98474820564, -114.041489300372 50.984691901643, -114.041520072805 50.984667119244, -114.041577083482 50.984621445933, -114.041660666473 50.984554357444, -114.04175900388 50.984475908572, -114.041847360116 50.984405434471, -114.04192348053 50.984342695945, -114.041972416404 50.984303161791, -114.041997615045 50.984284311856, -114.042026495221 50.984260700477, -114.042054583267 50.984238398295, -114.042082671285 50.984216096106, -114.042102920346 50.984199988929, -114.042118600825 50.984187347176, -114.042191014061 50.984130151139, -114.04228750469 50.984052558314, -114.042344649221 50.984006950201, -114.042393178368 50.983967284764, -114.042450913415 50.983921327578, -114.042515696448 50.983868856467, -114.042610921342 50.98379285593, -114.042675169141 50.983741061858, -114.04274626614 50.983685057106, -114.042796594218 50.98364477324, -114.0428394263 50.983610243793, -114.042899773139 50.983561971443, -114.042960222544 50.983512318186, -114.043010550875 50.983472710262, -114.043104608086 50.983397077432, -114.043159218877 50.98335306914, -114.043221251423 50.983303416959, -114.043288124576 50.983250654268, -114.043393410834 50.983166196221, -114.043472648083 50.983102552935, -114.04354536444 50.983044127025, -114.043632465824 50.982973189048, -114.043672083752 50.982941705347, -114.043694224154 50.982922270047, -114.043730936536 50.982890615708, -114.043785977785 50.982842195648, -114.043822489534 50.982809346606, -114.043889562898 50.982746854698, -114.043916688376 50.982720604091, -114.043929053317 50.982708917158, -114.043952911694 50.982685650596, -114.043979862536 50.982658536117, -114.04399995308 50.982638858805, -114.044014860403 50.982622970857, -114.044064398451 50.98257793561, -114.044124789506 50.982512953205, -114.044167151361 50.982466780714, -114.044203201147 50.98242346127, -114.044253591885 50.98236496155, -114.04430135508 50.982305111633, -114.04433109449 50.982268062251, -114.044374245282 50.982211836955, -114.044405782443 50.982167948307, -114.044440921796 50.982117220614, -114.044473359014 50.982070482727, -114.044510168757 50.982013817493, -114.044540799814 50.981965370409, -114.044566023876 50.981924903853, -114.044588541489 50.981883867471, -114.044624431445 50.981820287572, -114.044645149499 50.981784380565, -114.044675768997 50.981725676949, -114.044702723456 50.981670718093, -114.044721632084 50.981629683065, -114.044745940861 50.981576680499, -114.04476034162 50.981539635978, -114.04477744852 50.981501451406, -114.044798093465 50.981447558442, -114.044823294306 50.981382019196, -114.044839485032 50.981330158735, -114.044861019222 50.98126078133, -114.044882535032 50.981188655735, -114.044896016738 50.981135087338, -114.044909500387 50.981082088893, -114.044926488801 50.981002591568, -114.04493905409 50.980933637419, -114.044950723612 50.980872092133, -114.04495784873 50.980807537, -114.044963218591 50.980761379335, -114.04496678048 50.980712942544, -114.044972108712 50.980625188039, -114.044975588747 50.980530370932, -114.044974590957 50.980430651593, -114.04497350116 50.980257799095, -114.04497339657 50.980149532773, -114.044971482943 50.98004669251, -114.044971425147 50.979986861593, -114.044970160236 50.979927550752, -114.044970189518 50.979922483171, -114.044970161775 50.979893762461, -114.044969756111 50.979868904827, -114.044969505742 50.97984854205, -114.044967900107 50.979707753775, -114.044966920261 50.979554330943, -114.044966827535 50.979458329434, -114.044965881383 50.979316192421, -114.044964906538 50.979144341313, -114.044964003971 50.979047318864, -114.0449622363 50.978883205605, -114.044960419214 50.978676758325, -114.044959522626 50.978565263129, -114.044958667915 50.97851777375, -114.044956185588 50.978458539776, -114.044953722498 50.978419221878, -114.044944806635 50.978370535456, -114.044933424935 50.978306198677, -114.044918011244 50.978251565278, -114.044903408951 50.978201017445, -114.044886415054 50.978151217584, -114.044864532094 50.978095055692, -114.044838608857 50.978041447562, -114.044794941109 50.977968713161, -114.044749601148 50.977901325639, -114.044709124253 50.977847213329, -114.044657479966 50.97778824267, -114.044609731438 50.977737707463, -114.044565223821 50.977695851586, -114.044511230662 50.977649203228, -114.044456213084 50.977606330068, -114.044402815261 50.977567030626, -114.044355082839 50.977534368002, -114.044291983945 50.977495582814, -114.044223428595 50.977455520404, -114.044165996641 50.977424902966, -114.044116656491 50.977399389571, -114.044060037857 50.977373368278, -114.043997758873 50.977345817222, -114.043929227307 50.977318387149, -114.04386048261 50.977292880042, -114.043799827292 50.977272987611, -114.043727042891 50.977250546576, -114.043652967128 50.977229762805, -114.043574526784 50.977210387525, -114.043513011624 50.977195087275, -114.043448690912 50.977180963008, -114.043375101802 50.977162607035, -114.043337112857 50.97715376974, -114.043175676722 50.977115814188, -114.042948445751 50.977062790481, -114.042792376026 50.977026592636, -114.042655301658 50.976994106745, -114.042517024989 50.976964029508, -114.042421601809 50.976938532159, -114.042333723595 50.976912119529, -114.042238296453 50.976882026425, -114.042120505243 50.976840314751, -114.042025880293 50.976802561843, -114.04192801658 50.97675919137, -114.041829582274 50.9767129191, -114.041738990825 50.976665972403, -114.041638161795 50.976608574103, -114.04155727005 50.976557537925, -114.041536334192 50.976544099268, -114.041490126693 50.976512625182, -114.041420788251 50.976460326227, -114.04140523022 50.97644782328, -114.041352829159 50.976405711859, -114.041292149867 50.976354669238, -114.041266746496 50.976332412181, -114.041205322316 50.976272934611, -114.041153898922 50.976218444644, -114.041100331059 50.97615899931, -114.041063186549 50.976114865967, -114.041019607192 50.976054516302, -114.040977451185 50.975990112602, -114.04093385978 50.97591579809, -114.040896694096 50.975845536629, -114.040850939836 50.97574509477, -114.040806603642 50.975636094068, -114.04077585996 50.975565379031, -114.040747974681 50.975500069478, -114.040720098541 50.975445120707, -114.040693660912 50.975401883391, -114.040658653485 50.975351441897, -114.040618640752 50.975289289269, -114.040577917092 50.975229840119, -114.040506471733 50.975124001444, -114.040468606468 50.97506815529, -114.040343577812 50.974881699781, -114.040304997351 50.974824952137, -114.040228550738 50.974710555782, -114.040167398339 50.97461878155))"
,2019/12/04,,60,,"MULTILINESTRING ((-114.046929306756 50.874470149671, -114.046733368774 50.874583925672, -114.046409334649 50.874798130149, -114.046071180516 50.874991525652, -114.045817540132 50.875113528933, -114.04554978303 50.875217698321, -114.045215107609 50.875322844174))"
N/S,2018/10/30,,80,100 ST SE,"MULTILINESTRING ((-113.888656139308 51.025836570489, -113.888656078544 51.025567986788, -113.888656016356 51.025299402175, -113.888655929762 51.024920211026), (-113.888656447927 51.027184613877, -113.888656387616 51.026920010007, -113.888656327306 51.026655405227, -113.888656233309 51.026245987872, -113.888656139308 51.025836570489), (-113.888659476943 51.019701652194, -113.888659773653 51.019462910111, -113.888660068932 51.019224168016, -113.888660365634 51.018985425014, -113.888660662328 51.018746682901, -113.888660957593 51.018507940777, -113.888661254278 51.018269198645, -113.888661550959 51.018030455603, -113.888661846209 51.01779171345, -113.88866224482 51.017366379537, -113.888662644842 51.016941045595, -113.888663043426 51.01651571162, -113.888671147986 51.01595585558), (-113.888660295895 51.037837911989, -113.88866028507 51.037553279494, -113.888660163664 51.037281470755, -113.888660040829 51.037009662901, -113.888659917993 51.036737855034, -113.888659795155 51.036466047154, -113.888659673745 51.036194238364, -113.888659550905 51.035922430459, -113.888659428065 51.035650622542, -113.888659325031 51.035421716419, -113.888659221996 51.035192810287, -113.888659118959 51.034963905045, -113.888659015923 51.034734998895, -113.888658912884 51.034506093636, -113.888658809846 51.034277187468, -113.888658706808 51.034048281291, -113.888658603767 51.033819376004, -113.888658500727 51.033590469809, -113.888658397686 51.033361563605, -113.888658294643 51.033132658291, -113.888658191601 51.032903752069, -113.888658088555 51.032674846737, -113.888658346229 51.03244593275), (-113.888655929762 51.024920211026, -113.888655863432 51.024631931596, -113.888655803518 51.024369535497), (-113.888658346229 51.03244593275, -113.88865808704 51.032011469287, -113.888657829278 51.031577004893, -113.888657679149 51.031334427841, -113.888657530447 51.031091849881, -113.888657380318 51.030849272809, -113.888657231615 51.030606694829), (-113.888655803518 51.024369535497, -113.888655708756 51.024097884387, -113.888655613992 51.023826233264, -113.888655591161 51.023588222813, -113.888655569757 51.023350211454), (-113.888656661643 51.028117657087, -113.888656590933 51.027810984756, -113.88865653014 51.027545393838), (-113.888657231615 51.030606694829, -113.888657159927 51.030293893411, -113.888657088237 51.029981091976, -113.888657016544 51.029668290525, -113.888656944852 51.029355488157, -113.88865920751 51.029045973755, -113.88866147156 51.028736459337, -113.888663734152 51.028426944901, -113.888656661643 51.028117657087), (-113.888655569757 51.023350211454, -113.888655823722 51.023107326994, -113.888656077683 51.022864442523, -113.888656333065 51.022621558044, -113.888656587016 51.022378673553, -113.888656840963 51.022135789052, -113.888657094904 51.02189290544, -113.888657348841 51.021650020919, -113.8886576042 51.021407136389, -113.888658072408 51.020980765387, -113.888658540601 51.020554394354, -113.888659008779 51.02012802329, -113.888659476943 51.019701652194), (-113.88865653014 51.027545393838, -113.888656485594 51.027347993876, -113.888656447927 51.027184613877))"
W,,0.38,70,16 AV,"MULTILINESTRING ((-114.149210493882 51.066079929433, -114.149240384197 51.066080541233, -114.149263248764 51.066080085029, -114.149314775392 51.066078070257, -114.149347639102 51.06607738641, -114.149432829124 51.066074028661, -114.149546072823 51.066068047727, -114.149718313973 51.066061561429, -114.149805219606 51.066057552155, -114.149979115069 51.06604955398, -114.150062783577 51.066046030516), (-114.150062783577 51.066046030516, -114.150154958643 51.066045299955, -114.150217930555 51.066038946932, -114.150367102981 51.066032485724, -114.15085006775 51.066009880954, -114.150967038258 51.066008458807, -114.151101155618 51.066007649953), (-114.151101155618 51.066007649953, -114.151528882079 51.066005734355, -114.151677737354 51.066008836933, -114.151717873648 51.066009673031, -114.151936722603 51.066019846515, -114.152221848092 51.066028616313), (-114.152221848092 51.066028616313, -114.152258364283 51.066034069558, -114.152520347385 51.066054641688, -114.152991304953 51.066106309502, -114.153449033959 51.066168448712, -114.153721060954 51.066218281743, -114.154038587753 51.066282585157, -114.154238012322 51.066325420652))"
