Camera Location,Quadrant,Camera URL,longitude,latitude
Glenmore Trail / Crowchild Trail SW,SW,http://trafficcam.calgary.ca/loc15.jpg,-114.1180484439263,51.000037868827306
Country Hills Blvd / 36 Street NE,NE,http://trafficcam.calgary.ca/loc73.jpg,-113.98172893067787,51.1543015899038
Southland Drive / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc71.jpg,-114.03876032791801,50.96584162366361
22 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc19.jpg,-113.9947155450587,51.03377488343599
Riverfront Avenue / 1 Street SE,SE,http://trafficcam.calgary.ca/loc121.jpg,-114.06001413696026,51.05113127254379
Peigan Trail / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc1.jpg,-114.00268868788996,51.0149725198321
John Laurie Blvd / 14 Street NW,NW,http://trafficcam.calgary.ca/loc97.jpg,-114.09476969748634,51.089717655738205
Glenmore Trail / 18 Street SE,SE,http://trafficcam.calgary.ca/loc110.jpg,-114.01570364922587,50.979035272625424
33 Avenue / Crowchild Trail SW,SW,http://trafficcam.calgary.ca/loc123.jpg,-114.11736882439641,51.02407364916755
Glenmore Trail / 52 Street SE,SE,http://trafficcam.calgary.ca/loc64.jpg,-113.95877978420052,50.9798023700848
4 Avenue / 9 Street SW,SW,http://trafficcam.calgary.ca/loc5.jpg,-114.0835214920636,51.049960130946516
32 Avenue / 36 Street NE,NE,http://trafficcam.calgary.ca/loc106.jpg,-113.98232605342365,51.08154994605868
Beddington Trail / Country Hills Blvd NW,NW,http://trafficcam.calgary.ca/loc42.jpg,-114.09223915051751,51.143892232710826
12 Avenue / 5 Street SW,SW,http://trafficcam.calgary.ca/loc76.jpg,-114.07417575312259,51.04175674170767
Kensington Road / Crowchild Trail NW,NW,http://trafficcam.calgary.ca/loc4.jpg,-114.11808817102143,51.05248735760135
4 Avenue / 10 Street SW,SW,http://trafficcam.calgary.ca/loc55.jpg,-114.0868195955438,51.04917678993704
7 Avenue / 8 Street SW,SW,http://trafficcam.calgary.ca/loc107.jpg,-114.08118406671116,51.04703022722037
Bow Trail / Crowchild Trail SW,SW,http://trafficcam.calgary.ca/loc124.jpg,-114.11277543920971,51.04360095035812
114 Avenue / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc108.jpg,-113.98164399227282,50.95052536152956
17 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc18.jpg,-114.00508589702287,51.03680263921096
McKnight Blvd / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc51.jpg,-114.04045433764314,51.09604820905246
16 Avenue / Edmonton Trail NE,NE,http://trafficcam.calgary.ca/loc65.jpg,-114.05621018585536,51.0668211101415
Bannister Road / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc9.jpg,-114.07165117815374,50.92515465681974
Glenmore Trail / 1A Street SW,SW,http://trafficcam.calgary.ca/loc28.jpg,-114.06733242591571,50.99436022519021
Crowchild Trail / Nosehill Drive NW,NW,http://trafficcam.calgary.ca/loc22.jpg,-114.20245147733083,51.1200648753833
Heritage Drive / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc87.jpg,-114.05049384996964,50.980917874289275
Anderson Road / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc99.jpg,-114.07071680539245,50.95057929243404
25 Avenue / Spiller Road SE,SE,http://trafficcam.calgary.ca/loc46.jpg,-114.05015970632837,51.029759483007645
Lake Fraser Gate / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc88.jpg,-114.06941349005237,50.93942101524657
Stoney Trail / Beddington Trail NW,NW,http://trafficcam.calgary.ca/loc100.jpg,-114.11492571494574,51.15657512915787
Stoney Trail / 88 Street SE,SE,http://trafficcam.calgary.ca/loc25.jpg,-113.90727675163433,50.90645397801385
Canyon Meadows Dr / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc118.jpg,-114.06941875328161,50.93187048257907
McKnight Blvd / Centre St N,NW/NE,http://trafficcam.calgary.ca/loc96.jpg,-114.06236338414182,51.09597457014086
Glenmore Trail / 14 Street SW (West),SW,http://trafficcam.calgary.ca/loc111.jpg,-114.09497807519125,50.99380954405774
64 Avenue / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc67.jpg,-114.04803210227347,51.11050635159031
17 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc77.jpg,-113.95824682811549,51.03780978427816
5 Avenue / 3 Street SE,SE,http://trafficcam.calgary.ca/loc95.jpg,-114.05547866705824,51.048175983260904
16 Avenue / 36 Street NE,NE,http://trafficcam.calgary.ca/loc38.jpg,-113.98141464699088,51.06694497892773
34 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc20.jpg,-113.99984106706685,51.02328521331411
6 Avenue / 1 Street SE,SE,http://trafficcam.calgary.ca/loc32.jpg,-114.06067482719047,51.047237570868155
25 Avenue / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc81.jpg,-114.05983961675844,51.030473209092335
130 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc10.jpg,-113.97505521976971,50.931961269298995
Heritage Drive / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc8.jpg,-114.07177448540122,50.979386736801935
149 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc11.jpg,-114.07030566714813,50.91888662078938
12 Avenue / Olympic Way SE,SE,http://trafficcam.calgary.ca/loc80.jpg,-114.0534924757954,51.04114729666391
58 Avenue / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc82.jpg,-114.04901017448009,51.00130201641145
Airport Trail / 36 Street NE,NE,http://trafficcam.calgary.ca/loc113.jpg,-113.9816889358848,51.139779285285094
Memorial Drive / 10 Street NW,NW,http://trafficcam.calgary.ca/loc35.jpg,-114.08582422807301,51.051942405286155
16 Avenue / 10 Street NW,NW,http://trafficcam.calgary.ca/loc74.jpg,-114.08492162063845,51.06680683528495
Highfield Road / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc40.jpg,-114.047905991384,51.02106723740098
Memorial Drive / 14 Street NW,NW,http://trafficcam.calgary.ca/loc57.jpg,-114.09319948638716,51.049638983076406
Bow Trail / 14 Street SW,SW,http://trafficcam.calgary.ca/loc54.jpg,-114.0948040014521,51.047066270428424
Bow Trail / Sarcee Trail SW,SW,http://trafficcam.calgary.ca/loc125.jpg,-114.16399131398036,51.0527425638474
58 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc103.jpg,-114.07173401809429,51.00145667654332
17 Avenue / 28 Street SE,SE,http://trafficcam.calgary.ca/loc14.jpg,-113.99308392333003,51.037747726784374
Stoney Trail / Sarcee Trail NW,NW,http://trafficcam.calgary.ca/loc72.jpg,-114.16482098989194,51.15308253136481
16 Avenue / 14 Street NW,NW,http://trafficcam.calgary.ca/loc39.jpg,-114.09399018889013,51.066976453286195
Glenmore Trail / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc52.jpg,-114.03522595045008,50.99421555687499
Macleod Trail S / 162 Avenue SE (East intersection),SE,http://trafficcam.calgary.ca/loc105.jpg,-114.06060442981492,50.905279492857964
McKnight Boulevard / Barlow Trail NE,NE,http://trafficcam.calgary.ca/loc92.jpg,-114.001828108136,51.09279212755802
McKnight Blvd / Stoney Trail NE,NE,http://trafficcam.calgary.ca/loc115.jpg,-113.91586698819364,51.0967587638852
Glenmore Trail / Blackfoot Trail SE,SE,http://trafficcam.calgary.ca/loc60.jpg,-114.05255439389026,50.99391337238797
8 Avenue / 12 Street SE,SE,http://trafficcam.calgary.ca/loc43.jpg,-114.03358439425273,51.042035976741865
Memorial Drive / 36 Street SE,SE,http://trafficcam.calgary.ca/loc41.jpg,-113.9815650689869,51.05210874437009
Blackfoot Trail / 19 Street SE,SE,http://trafficcam.calgary.ca/loc117.jpg,-114.01790875930716,51.03764902050382
194 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc44.jpg,-114.04406312885425,50.87564418104645
9 Avenue / 5 Street SW,SW,http://trafficcam.calgary.ca/loc129.jpg,-114.07383364411967,51.04488493743964
Stoney Trail / Chaparral Blvd SE,SE,http://trafficcam.calgary.ca/loc130.jpg,-114.02564585895384,50.88888071214248
Bow Trail / Pumphouse Road SW,SW,http://trafficcam.calgary.ca/loc53.jpg,-114.10363543153677,51.04704268175836
32 Avenue / 52 Street NE,NE,http://trafficcam.calgary.ca/loc45.jpg,-113.95829692805721,51.081577825273904
Southland Drive / 14 Street SW,SW,http://trafficcam.calgary.ca/loc23.jpg,-114.0953543354463,50.961571943591146
16 Avenue / Barlow Trail NE,NE,http://trafficcam.calgary.ca/loc93.jpg,-114.00208632167788,51.066772846465206
Bow Trail / 6 Avenue SW,SW,http://trafficcam.calgary.ca/loc56.jpg,-114.09138126211612,51.047493042108805
130 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc62.jpg,-113.95829107912638,50.93142257426229
Glenmore Trail / Elbow Drive SW (East),SW,http://trafficcam.calgary.ca/loc6.jpg,-114.08423581441122,50.99391613155108
8 Avenue / 11 Street SW,SW,http://trafficcam.calgary.ca/loc13.jpg,-114.08864084354407,51.04625798567086
42 Avenue / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc31.jpg,-114.0643126070358,51.01590992652815
5 Avenue / 7 Street SW ,SW,http://trafficcam.calgary.ca/loc75.jpg,-114.07860080300819,51.048819960201854
47 Avenue / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc79.jpg,-114.00846679103628,51.01092819043257
Samis Road / Centre Street North,NW/NE,http://trafficcam.calgary.ca/loc89.jpg,-114.06247391195606,51.054983428006125
16 Avenue / Centre Street N,NW/NE,http://trafficcam.calgary.ca/loc127.jpg,-114.06263234782273,51.066799506767126
16 Avenue / Home Rd NW,NW,http://trafficcam.calgary.ca/loc94.jpg,-114.16432736564332,51.07261241416542
Bow Trail / 33 Street SW,SW,http://trafficcam.calgary.ca/loc61.jpg,-114.1355522025773,51.04138442552231
4 Avenue / Macleod Trail S,SE,http://trafficcam.calgary.ca/loc33.jpg,-114.05783696566462,51.04919580378446
Memorial Drive / 10A Street NW,NW,http://trafficcam.calgary.ca/loc58.jpg,-114.09053630765818,51.050950969827156
16 Avenue / 19 Street NE,NE,http://trafficcam.calgary.ca/loc70.jpg,-114.01402450420576,51.06703730986154
Macleod Trail S / 162 Avenue SE (West intersection),SE,http://trafficcam.calgary.ca/loc101.jpg,-114.06370256202467,50.90457455966962
Glenmore Trail / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc0.jpg,-114.07158546728903,50.99398902428288
16 Avenue / Sarcee Trail  NW,NW,http://trafficcam.calgary.ca/loc119.jpg,-114.18916027298324,51.080852490120684
Barlow Trail / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc109.jpg,-113.9814887436288,50.94474223489823
16 Avenue / Stoney Trail NE,NE,http://trafficcam.calgary.ca/loc83.jpg,-113.9204068912816,51.067685551841684
McKnight Blvd / Metis Trail NE,NE,http://trafficcam.calgary.ca/loc63.jpg,-113.98078438719092,51.09570015501199
32 Avenue / Deerfoot Trail NE,NE,http://trafficcam.calgary.ca/loc49.jpg,-114.03526901748145,51.08161365479812
50 Avenue / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc2.jpg,-114.0018448895638,51.008623411112225
Southland Drive / Deerfoot Trail SE,SE,http://trafficcam.calgary.ca/loc69.jpg,-114.03157690752774,50.96796035763481
Southland Drive / Macleod Trail S,SW/SE,http://trafficcam.calgary.ca/loc48.jpg,-114.07135249371167,50.96514132490321
5 Avenue btw 1 Street & 2 Street SW,SW,http://trafficcam.calgary.ca/loc26.jpg,-114.06641996216587,51.04848536763671
John Laurie Blvd / Shaganappi Trail NW,NW,http://trafficcam.calgary.ca/loc47.jpg,-114.13984532857523,51.10884331769184
162 Avenue / Shawville Blvd,SE,http://trafficcam.calgary.ca/loc116.jpg,-114.06598672895885,50.90433137165158
210 Avenue / Macleod Trail SE,SW/SE,http://trafficcam.calgary.ca/loc90.jpg,-114.03797668257991,50.86615764180886
16 Avenue / 52 Street NE,NE,http://trafficcam.calgary.ca/loc68.jpg,-113.95842785122166,51.06671207421939
Heritage Drive / 14 Street SW,SW,http://trafficcam.calgary.ca/loc24.jpg,-114.09484697595698,50.979529672598446
114 Avenue / 52 Street SE,SE,http://trafficcam.calgary.ca/loc29.jpg,-113.95833098857952,50.95043954088319
McKnight Blvd / 52 Street NE,NE,http://trafficcam.calgary.ca/loc12.jpg,-113.9582102523104,51.09588367800356
Memorial Drive / Edmonton Trail NE,NE,http://trafficcam.calgary.ca/loc30.jpg,-114.05013565124167,51.05080177905638
Glenmore Trail / Barlow Trail SE,SE,http://trafficcam.calgary.ca/loc98.jpg,-113.98149474257826,50.97944552703123
Glenmore Trail / Stoney Trail SE,SE,http://trafficcam.calgary.ca/loc128.jpg,-113.92926315524146,50.97963485785634
5 Avenue / 5 Street SW,SW,http://trafficcam.calgary.ca/loc122.jpg,-114.07364428554597,51.048676745932184
9 Avenue / 3 Street SE,SE,http://trafficcam.calgary.ca/loc91.jpg,-114.05566366700616,51.04439013971987
