INSTDATE,FIRSTROAD,SECONDROAD,QUADRANT,INT_TYPE,PEDBUTTONS,PED_TIMER,ACCESSIBLE PEDESTRIAN SIGNAL,latitude,longitude,Point,Count
1983/04/01,DALHOUSIE DRIVE,DALGLEISH ROAD,NW,Overhead Flasher,Yes,No,,51.104839032368986,-114.15471423409014,POINT (-114.15471423409 51.104839032369),1
1983/01/01,BEDDINGTON BOULEVARD,BERMUDA DR/BERKLEY DR,NW,Traffic signal,Yes,No,,51.12740800456167,-114.07710193191653,POINT (-114.077101931917 51.127408004562),1
2017/09/29,RANCHERO DRIVE,RANCHLANDS BOULEVARD,NW,Pedestrian RRFB,Yes,No,,51.12051784667572,-114.19388619847636,POINT (-114.193886198476 51.120517846676),1
2008/02/14,LAKE FRASER DRIVE,LAKE ASPEN ROAD,SE,Overhead Flasher,Yes,No,,50.9463327769722,-114.06844710614367,POINT (-114.068447106144 50.946332776972),1
2018/11/27,80 AVENUE,MARTHAS WAY/52 STREET,NE,Traffic signal,Yes,Yes,,51.12519934103935,-113.95837216413504,POINT (-113.958372164135 51.125199341039),1
2017/12/21,3830,BRENTWOOD ROAD,NW,Pedestrian RRFB,Yes,No,,51.08666091449404,-114.13020458081898,POINT (-114.130204580819 51.086660914494),1
1975/01/01,MILLICAN ROAD,OGDEN ROAD,SE,Traffic signal T intersection,Yes,No,,50.99965924342299,-114.00975203406446,POINT (-114.009752034064 50.999659243423),1
1976/01/01,34 AVENUE/MARKET MALL ENTRANCE,49 STREET,NW,Traffic signal,Yes,No,,51.08310616305662,-114.15833829078841,POINT (-114.158338290788 51.083106163057),1
2019/12/02,AIRPORT TRAIL,60 STREET,NE,Traffic signal T intersection,Yes,Yes,,51.13960107894011,-113.94669022455753,POINT (-113.946690224558 51.13960107894),1
1981/10/29,MEMORIAL DRIVE WESTBOUND,CENTRE STREET CONNECTOR,NE,Traffic signal T intersection,No,No,,51.054152494462976,-114.06152605247803,POINT (-114.061526052478 51.054152494463),1
1978/01/01,CANYON MEADOWS DRIVE,LAKE CRIMSON DR/PARKLAND BLVD,SE,Traffic signal,Yes,No,,50.93024571204002,-114.03855135167433,POINT (-114.038551351674 50.93024571204),1
1986/10/01,BOW CRESCENT/BOWWOOD DRIVE,BOWNESS ROAD,NW,Overhead Flasher,Yes,No,,51.080222747346745,-114.17330562659531,POINT (-114.173305626595 51.080222747347),1
1968/01/01,38 AVENUE,ELBOW DRIVE,SW,Traffic signal,Yes,Yes,,51.02010657974118,-114.07783602744227,POINT (-114.077836027442 51.020106579741),1
1982/11/17,CENTRE AVENUE,28 STREET,E,Traffic signal,Yes,No,,51.05238752070725,-113.99332492638312,POINT (-113.993324926383 51.052387520707),1
1960/01/01,16 AVENUE,19 STREET,NW,Traffic signal,Yes,Yes,,51.06697092481761,-114.10629442594761,POINT (-114.106294425948 51.066970924818),1
1998/04/30,61 AVENUE,52 STREET,SE,Traffic signal,Yes,No,,50.998963177170346,-113.95851392134914,POINT (-113.958513921349 50.99896317717),1
2005/09/29,DEERFOOT TRAIL,24 STREET,SE,Traffic signal T intersection,Yes,No,,50.950137668512724,-114.0035579154552,POINT (-114.003557915455 50.950137668513),1
1980/01/01,17 AVENUE,DEERFOOT TRAIL SB RAMP,SE,1/4 signal,No,No,,51.03700290128409,-114.00670832611485,POINT (-114.006708326115 51.037002901284),1
2006/09/27,24 AVENUE,WEST CAMPUS DR/WEST CAMPUS PL,NW,Traffic signal,Yes,No,,51.073981704852095,-114.1443942656879,POINT (-114.144394265688 51.073981704852),1
1970/01/01,90 AVENUE,14 STREET,SW,Traffic signal T intersection,Yes,Yes,,50.97225053066774,-114.0951276081255,POINT (-114.095127608125 50.972250530668),1
2014/09/14,17 AVENUE,84 STREET,SE,Traffic signal T intersection,No,No,,51.03774137641077,-113.9119390032118,POINT (-113.911939003212 51.037741376411),1
1972/01/01,46 AVENUE/RICHARDSON WAY,37 STREET,SW,Traffic signal,Yes,Yes,,51.01245088516645,-114.14115345676838,POINT (-114.141153456768 51.012450885166),1
2016/08/05,FALSHIRE DRIVE,FALTON RISE,NE,Pedestrian RRFB,Yes,No,,51.10606518256732,-113.94218735135625,POINT (-113.942187351356 51.106065182567),1
1991/08/13,GODDARD AVENUE,4 STREET,NE,Traffic signal,Yes,No,,51.097481763559216,-114.05386331255801,POINT (-114.053863312558 51.097481763559),1
1998/04/30,76 AVENUE,52 STREET,SE,Traffic signal,Yes,No,,50.985101411433654,-113.95849505683736,POINT (-113.958495056837 50.985101411434),1
1974/01/01,17 AVENUE,52 STREET,SE,Traffic signal,Yes,Yes,,51.0378259235463,-113.95837941782109,POINT (-113.958379417821 51.037825923546),1
1970/10/01,40 AVENUE,40 STREET,NW,Overhead Flasher,Yes,No,,51.08828207420698,-114.14734053871435,POINT (-114.147340538714 51.088282074207),1
2011/03/30,COUNTRY HILLS BOULEVARD,36 STREET,NE,Traffic signal,Yes,No,,51.15430611501024,-113.98165962844487,POINT (-113.981659628445 51.15430611501),1
1999/10/31,CHINOOK TUNNEL ENTRANCE,MACLEOD TRAIL,SW,1/4 signal,Yes,No,,50.999319889818025,-114.07154299456349,POINT (-114.071542994563 50.999319889818),1
1981/01/01,13 AVENUE,37 STREET,SW,Traffic signal,Yes,No,,51.041505840610014,-114.14112765068032,POINT (-114.14112765068 51.04150584061),1
2000/08/28,SHAWINIGAN DRIVE,SHAWBROOKE CLOSE,SW,Overhead Flasher,Yes,No,,50.907406291962545,-114.08806011106238,POINT (-114.088060111062 50.907406291963),1
2017/05/04,CASTLEBROOK DRIVE,CASTLEBROOK ROAD,NE,Pedestrian RRFB,Yes,,,51.104415107402225,-113.9620220273227,POINT (-113.962022027323 51.104415107402),1
1969/01/01,NORTHMOUNT DRIVE,NORTHMOUNT CRESCENT,NW,Overhead Flasher,Yes,No,,51.09987362483299,-114.07579969749756,POINT (-114.075799697498 51.099873624833),1
2017/11/05,CRANSTON DRIVE,CRANSTON WAY,SE,Pedestrian RRFB,Yes,No,,50.88602752242952,-113.9880516602227,POINT (-113.988051660223 50.88602752243),1
1991/06/24,55 AVENUE,ELBOW DRIVE,SW,Traffic signal,Yes,Yes,,51.00425520963348,-114.08132880832245,POINT (-114.081328808322 51.004255209633),1
2013/10/07,PEIGAN TRAIL,84 STREET,SE,Traffic signal,No,No,,51.015894717220746,-113.91198707433725,POINT (-113.911987074337 51.015894717221),1
1977/08/01,240,90 AVENUE,SE,Overhead Flasher,Yes,No,,50.97224484180575,-114.06557496851778,POINT (-114.065574968518 50.972244841806),1
1980/01/01,JOHN LAURIE BOULEVARD,SHAGANAPPI TRAIL,NW,Traffic signal,Yes,Yes,,51.109107360129656,-114.1400826350111,POINT (-114.140082635011 51.10910736013),1
1977/01/01,8 AVENUE,19 STREET,NE,Traffic signal,Yes,No,,51.059605700103646,-114.01326663179978,POINT (-114.0132666318 51.059605700104),1
2017/09/10,610,RANCHLANDS BOULEVARD,NW,Pedestrian RRFB,Yes,No,,51.11822166220994,-114.17874425571091,POINT (-114.178744255711 51.11822166221),1
1966/01/01,BOW TRAIL,45 STREET,SW,Traffic signal,Yes,Yes,,51.04881967919785,-114.15279687260973,POINT (-114.15279687261 51.048819679198),1
2008/04/07,FAIRMOUNT DRIVE,FARRELL ROAD,SE,Traffic signal,Yes,No,,50.99205373100374,-114.06375828425233,POINT (-114.063758284252 50.992053731004),1
1967/11/01,BOWNESS ROAD/85 STREET,44 AVENUE,NW,Overhead Flasher,Yes,No,,51.09194120476546,-114.21074445488287,POINT (-114.210744454883 51.091941204765),1
1978/01/01,40 AVENUE,49 STREET,NW,Traffic signal,Yes,No,,51.08826434717624,-114.15848749856143,POINT (-114.158487498561 51.088264347176),1
2004/07/27,64 AVENUE,MARTINDALE DRIVE/54 STREET,NE,Traffic signal,Yes,No,,51.11062349705817,-113.95587203066175,POINT (-113.955872030662 51.110623497058),1
2004/09/14,HERITAGE MEADOWS WAY,HERITAGE MEADOWS ROAD,SE,Traffic signal T intersection,Yes,No,,50.98201042600176,-114.03526171625047,POINT (-114.03526171625 50.982010426002),1
1963/01/01,17 AVENUE,37 STREET,SW,Traffic signal,Yes,Yes,,51.037816267769635,-114.14118434856462,POINT (-114.141184348565 51.03781626777),1
1959/01/01,11 AVENUE,8 STREET,SW,Traffic signal,No,Yes,,51.04290213392082,-114.08145349697232,POINT (-114.081453496972 51.042902133921),1
2019/04/29,CRANSTON AVENUE,CRANSTON ROAD,SE,Pedestrian RRFB,Yes,No,,50.87976962552308,-113.97896017571921,POINT (-113.978960175719 50.879769625523),1
2001/02/07,KENSINGTON ROAD,18 STREET,NW,Overhead Flasher,Yes,No,,51.05251878820858,-114.1024164702582,POINT (-114.102416470258 51.052518788209),1
2016/12/21,BOWNESS ROAD,64 STREET,NW,Pedestrian RRFB,Yes,No,,51.08651980135619,-114.18180408395999,POINT (-114.18180408396 51.086519801356),1
1985/01/01,90 AVENUE,JERUSALEM ROAD/16 STREET,SW,Traffic signal,Yes,Yes,,50.97222813076117,-114.1004465975376,POINT (-114.100446597538 50.972228130761),1
1960/01/01,GLENMORE TRAIL,MACLEOD TRAIL,SW,Traffic signal,No,No,,50.99422000159911,-114.07153909887161,POINT (-114.071539098872 50.994220001599),1
2018/01/23,130 AVENUE,DEERFOOT TRAIL,SE,Pedestrian RRFB,Yes,No,,50.93168194776461,-113.97283471758176,POINT (-113.972834717582 50.931681947765),1
2017/05/24,TUSCANY RIDGE HEIGHTS,TUSCANY WAY,NW,Pedestrian RRFB,Yes,No,,51.13063823146399,-114.25148501073173,POINT (-114.251485010732 51.130638231464),1
1980/10/01,HUNTERVIEW DRIVE,HUNTERBURN HILL,NW,Overhead Flasher,Yes,No,,51.11781190721933,-114.08319913253746,POINT (-114.083199132537 51.117811907219),1
1996/08/30,4 AVENUE,52 STREET,NE,Traffic signal T intersection,Yes,No,,51.055133079886275,-113.95652169253745,POINT (-113.956521692537 51.055133079886),1
2015/01/15,SYMONS VALLEY PARKWAY,EVANSTONE DRIVE,NW,Traffic signal,Yes,Yes,,51.17542785573118,-114.10733123993876,POINT (-114.107331239939 51.175427855731),1
2007/12/17,112 AVENUE,SARCEE TRAIL,NW,Traffic signal,Yes,No,,51.15998598343051,-114.16243357238913,POINT (-114.162433572389 51.159985983431),1
1966/01/01,11 AVENUE,2 STREET,SW,Traffic signal,No,Yes,,51.04253305522755,-114.06819109233382,POINT (-114.068191092334 51.042533055228),1
1956/01/01,5 AVENUE,1 STREET,SW,Traffic signal,No,Yes,,51.048458937752336,-114.06530465331724,POINT (-114.065304653317 51.048458937752),1
2000/06/19,CITADEL GATE/NOSE HILL DRIVE,COUNTRY HILLS BOULEVARD,NW,Traffic signal,Yes,No,,51.14112691691031,-114.18192994010985,POINT (-114.18192994011 51.14112691691),1
2016/08/02,QUEENSLAND CIRCLE,QUEENSLAND DRIVE,SE,Pedestrian RRFB,Yes,No,,50.93973630680822,-114.02455368662322,POINT (-114.024553686623 50.939736306808),1
1957/01/01,30 AVENUE,ELBOW DRIVE,SW,Traffic signal T intersection,Yes,Yes,,51.02638817704459,-114.07881841146177,POINT (-114.078818411462 51.026388177045),1
2020/01/08,KENSINGTON ROAD,KENSINGTON CRESCENT/11A STREET,NW,Overhead Flasher,Yes,No,,51.05250886285318,-114.0903219300309,POINT (-114.090321930031 51.052508862853),1
2017/06/13,KENSINGTON ROAD,25 STREET,NW,Pedestrian RRFB,Yes,No,,51.05246772261904,-114.12014957695045,POINT (-114.12014957695 51.052467722619),1
2002/09/12,64 AVENUE,FALCONRIDGE BOULEVARD,NE,Traffic signal,Yes,No,,51.110631048905965,-113.94691133036905,POINT (-113.946911330369 51.110631048906),1
2017/06/12,HIDDEN SPRING CI/HIDDEN SPRING CL,HIDDEN VALLEY DRIVE,NW,Pedestrian RRFB,Yes,No,,51.15152650490912,-114.10937387088696,POINT (-114.109373870887 51.151526504909),1
2011/08/11,10 AVENUE,19 STREET,SW,Overhead Flasher,Yes,No,,51.044521799651115,-114.10658770049123,POINT (-114.106587700491 51.044521799651),1
2017/06/13,PANAMOUNT BOULEVARD,PANORAMA HILLS BOULEVARD,NW,Pedestrian RRFB,Yes,No,,51.157879934626955,-114.08019529071429,POINT (-114.080195290714 51.157879934627),1
1965/01/01,24 AVENUE,CROWCHILD TRAIL,NW,Traffic signal,Yes,Yes,,51.07427624742103,-114.11839142364019,POINT (-114.11839142364 51.074276247421),1
2000/09/29,33 AVENUE,22 STREET,SW,Traffic signal,Yes,No,,51.02398658063413,-114.11434351719636,POINT (-114.114343517196 51.023986580634),1
2004/04/29,COUNTRY HILLS BOULEVARD,ROYAL OAK CENTRE,NW,Traffic signal,Yes,No,,51.15219129517048,-114.2157673574923,POINT (-114.215767357492 51.15219129517),1
2006/07/03,SARCEE TRAIL,SHERWOOD S.C. DRIVE,NW,Traffic signal T intersection,Yes,No,,51.157345086035484,-114.16238418638657,POINT (-114.162384186387 51.157345086035),1
1995/06/12,EDGEMONT BOULEVARD,EDGEVALLEY DR/EDENWOLD DR,NW,Traffic signal,Yes,No,,51.12722518468688,-114.14492024679821,POINT (-114.144920246798 51.127225184687),1
1979/10/01,RUNDLEHORN DRIVE,59 STREET/PINEPOINT DRIVE,NE,Overhead Flasher,Yes,No,,51.07155092366641,-113.94740495314416,POINT (-113.947404953144 51.071550923666),1
2018/08/30,17 AVENUE,40 STREET,SE,Traffic signal,Yes,Yes,,51.03784175109197,-113.97573711466369,POINT (-113.975737114664 51.037841751092),1
2010/08/12,114 AVENUE,SHEPARD OPERATIONAL CENTRE,SE,Traffic signal,Yes,No,,50.9505118543717,-113.94111985408705,POINT (-113.941119854087 50.950511854372),1
1971/01/01,32 AVENUE,SHAGANAPPI TRAIL,NW,Traffic signal,Yes,No,,51.08147103599153,-114.15221620676961,POINT (-114.15221620677 51.081471035992),1
1966/08/01,BOWNESS ROAD,73 STREET,NW,Overhead Flasher,Yes,No,,51.088964674059966,-114.1933802276532,POINT (-114.193380227653 51.08896467406),1
1954/01/01,26 AVENUE/ELBOW DRIVE,4 STREET,SW,Traffic signal,No,Yes,,51.02968472318658,-114.07150814390201,POINT (-114.071508143902 51.029684723187),1
1982/01/01,33 AVENUE,CROWCHILD TRAIL,SW,Traffic signal,Yes,Yes,,51.023952788027536,-114.11728440795336,POINT (-114.117284407953 51.023952788028),1
2005/05/10,13 AVENUE,8 STREET,SW,Overhead Flasher,Yes,No,,51.04100520180024,-114.08159276557154,POINT (-114.081592765572 51.0410052018),1
1986/08/01,16 AVENUE,43 STREET,NW,Overhead Flasher,Yes,No,,51.06789609798895,-114.1579724996587,POINT (-114.157972499659 51.067896097989),1
2010/12/09,BOWNESS ROAD,POINT DRIVE,NW,Traffic signal,Yes,Yes,,51.062238750230875,-114.1463264428418,POINT (-114.146326442842 51.062238750231),1
2016/04/14,23 AVENUE,52 STREET,SE,Traffic signal T intersection,Yes,No,,51.032155406445966,-113.95838100700769,POINT (-113.958381007008 51.032155406446),1
1966/01/01,12 AVENUE,2 STREET,SW,Traffic signal,No,Yes,,51.04157111241079,-114.06826097848854,POINT (-114.068260978489 51.041571112411),1
1993/05/30,JOHN LAURIE BOULEVARD,14 STREET,NW,Traffic signal,Yes,No,,51.08978879294466,-114.09467903270819,POINT (-114.094679032708 51.089788792945),1
2008/01/07,SCENIC ACRES BOULEVARD,SCURFIELD DRIVE,NW,Traffic signal,Yes,No,,51.11951397840842,-114.21096710544785,POINT (-114.210967105448 51.119513978408),1
1969/01/01,26 AVENUE/BLACKFOOT TR RAMP,OGDEN ROAD/PORTLAND ST,SE,Traffic signal T intersection,Yes,No,,51.03025966616818,-114.03224489227766,POINT (-114.032244892278 51.030259666168),1
2016/09/30,24 AVENUE,UDELL ROAD,NW,Pedestrian RRFB,Yes,No,,51.07436108277344,-114.13128383534352,POINT (-114.131283835344 51.074361082773),1
2000/11/15,CROWCHILD TRAIL,SHAGANAPPI TRAIL,NW,Traffic signal,Yes,No,,51.09811362538949,-114.14822654159293,POINT (-114.148226541593 51.098113625389),1
2003/11/26,DALHOUSIE STN PARK'n'RIDE,CROWCHILD TRAIL RAMP,NW,Traffic signal,Yes,Yes,,51.104588616456006,-114.16042501723344,POINT (-114.160425017233 51.104588616456),1
1980/10/29,9 AVENUE,5 STREET,SW,Traffic signal,No,Yes,,51.044893499063285,-114.07393834419123,POINT (-114.073938344191 51.044893499063),1
2007/06/23,GLENMORE TRAIL,ELBOW DRIVE,SW,Traffic signal,Yes,No,,50.99406844872529,-114.08319135495015,POINT (-114.08319135495 50.994068448725),1
2017/02/22,80 AVENUE,OGDEN ROAD,SE,Traffic signal,Yes,Yes,,50.98139695665889,-113.99876223609415,POINT (-113.998762236094 50.981396956659),1
1997/10/20,MARLBOROUGH DRIVE,MARLBOROUGH WAY,NE,Traffic signal,Yes,No,,51.05951255531546,-113.97508303150019,POINT (-113.9750830315 51.059512555315),1
2004/12/23,12 AVENUE,10 STREET,SW,Traffic signal,No,Yes,,51.04208048395986,-114.08644299175069,POINT (-114.086442991751 51.04208048396),1
2013/08/07,AIRPORT TRAIL,DEERFOOT TRAIL,NE,Traffic signal,No,Yes,,51.14081831516531,-114.03327032279101,POINT (-114.033270322791 51.140818315165),1
1980/01/01,JOHN LAURIE BOULEVARD,53 STREET/EDGEMONT DRIVE,NW,Traffic signal,Yes,Yes,,51.11517744918554,-114.15446310984004,POINT (-114.15446310984 51.115177449186),1
1986/07/02,MACLEOD TRAIL,18 AVENUE,SE,Fire signal,No,No,,51.036696336725115,-114.05877355840266,POINT (-114.058773558403 51.036696336725),1
1990/04/04,64 AVENUE,HUNTERHORN ROAD,NE,Traffic signal T intersection,Yes,No,,51.11061985296498,-114.0529107168384,POINT (-114.052910716838 51.110619852965),1
1973/08/01,HERITAGE DRIVE,FAIRVIEW DRIVE,SE,Overhead Flasher,Yes,No,,50.979580077817594,-114.06376967965238,POINT (-114.063769679652 50.979580077818),1
2004/04/07,SHAWVILLE GATE,BISHOP O'BYRNE PED CROSSING,SE,1/2 signal,Yes,No,,50.8986061217273,-114.06724144022311,POINT (-114.067241440223 50.898606121727),1
2002/09/26,40 AVENUE,CROWCHILD TRAIL RAMP,NW,Traffic signal,Yes,No,,51.08836874498404,-114.135450391466,POINT (-114.135450391466 51.088368744984),1
1978/01/01,61 AVENUE,CENTRE STREET,S,Traffic signal,Yes,No,,50.99773465603495,-114.06380298681074,POINT (-114.063802986811 50.997734656035),1
1979/12/11,MADIGAN DRIVE,4 AVENUE,NE,Overhead Flasher,Yes,No,,51.05576236169029,-113.94183134658205,POINT (-113.941831346582 51.05576236169),1
2011/11/01,11 AVENUE,OLYMPIC WAY/4 STREET,SE,Traffic signal,No,Yes,,51.04209306033117,-114.05342509616408,POINT (-114.053425096164 51.042093060331),1
1971/01/01,16 AVENUE EB,DEERFOOT TRAIL NB RAMP,NE,Traffic signal,No,No,,51.06638011447347,-114.02599515689488,POINT (-114.025995156895 51.066380114473),1
1951/01/01,17 AVENUE,8 STREET,SW,Traffic signal,No,Yes,,51.03781370736525,-114.08178677941349,POINT (-114.081786779413 51.037813707365),1
2005/03/28,114 AVENUE/DOUGLASGLEN GATE,24 STREET,SE,Traffic signal,Yes,Yes,,50.953607812104345,-114.0008397305752,POINT (-114.000839730575 50.953607812104),1
1971/05/05,MAPLETON DRIVE,ACADIA DRIVE,SE,Overhead Flasher,Yes,No,,50.96112938135952,-114.04680735003123,POINT (-114.046807350031 50.96112938136),1
1982/10/07,72 AVENUE,BARLOW TRAIL,SE,Traffic signal,Yes,No,,50.98949386995173,-113.98183929046724,POINT (-113.981839290467 50.989493869952),1
1994/08/11,COUNTRY HILLS BOULEVARD,SUPERSTORE ENTRANCE,NW,Traffic signal T intersection,Yes,No,,51.13874847563491,-114.16011766147173,POINT (-114.160117661472 51.138748475635),1
1987/09/01,FALCONRIDGE DRIVE,FALCHURCH ROAD,NE,Overhead Flasher,Yes,No,,51.09992090752702,-113.94434591940602,POINT (-113.944345919406 51.099920907527),1
1980/01/01,14 AVENUE,52 STREET,SE,Traffic signal,Yes,No,,51.04095805413466,-113.95838773681237,POINT (-113.958387736812 51.040958054135),1
1956/01/01,10 AVENUE,1 STREET,SW,Traffic signal,No,Yes,,51.043380399621554,-114.0656577643973,POINT (-114.065657764397 51.043380399622),1
1954/01/01,6 AVENUE,1 STREET,SW,Traffic signal,No,Yes,,51.047514977063145,-114.06537463336792,POINT (-114.065374633368 51.047514977063),1
1987/08/17,PEIGAN TRAIL,36 STREET,SE,Traffic signal,Yes,No,,51.014969269900725,-113.97707805116872,POINT (-113.977078051169 51.014969269901),1
