secname,the_geom,year_vol,shape_leng,volume
NORTHMT4,"MULTILINESTRING ((-114.128853 51.093093, -114.127786 51.09263, -114.127529 51.092518, -114.127302 51.09242, -114.127015 51.092295, -114.126758 51.092184, -114.125742 51.091741, -114.124719 51.091295, -114.124216 51.091074, -114.123701 51.090847, -114.12272 51.090421, -114.122171 51.090303, -114.121583 51.090179, -114.120983 51.090052, -114.118609 51.089552, -114.118468 51.089522, -114.11829 51.089487, -114.118089 51.089445, -114.117934 51.089413, -114.117793 51.089381, -114.117719 51.089365, -114.117585 51.089339, -114.117392 51.089301))",2016,915.932956619,8000
14STNW7,"MULTILINESTRING ((-114.094661 51.083108, -114.09466 51.083511, -114.09466 51.083914, -114.094659 51.084237, -114.094659 51.084561, -114.094661 51.0846, -114.094665 51.08463, -114.09467 51.084663, -114.09468 51.084699, -114.09469 51.084734, -114.094707 51.084775, -114.094725 51.084811, -114.094725 51.085243, -114.094724 51.085675, -114.094742 51.0861, -114.094745 51.086808, -114.094709 51.086825, -114.094687 51.086848, -114.094679 51.086876, -114.094673 51.086908, -114.094663 51.087169, -114.09466 51.087327, -114.094663 51.087377, -114.094659 51.088248, -114.094647 51.089257))",2016,686.36865477,30000
90AVSE1,"MULTILINESTRING ((-113.98194 50.972251, -113.981906 50.972251, -113.981855 50.972251, -113.981809 50.972251, -113.981757 50.972251, -113.981699 50.972251, -113.981642 50.972251, -113.981515 50.972251, -113.981362 50.972251, -113.9812 50.972251, -113.981018 50.972251, -113.980939 50.972251, -113.980888 50.972253, -113.980859 50.972255, -113.980811 50.97226, -113.980774 50.972264, -113.98074 50.97227, -113.980705 50.972278, -113.98066 50.972287, -113.980611 50.972298, -113.980476 50.972297, -113.980297 50.972297, -113.980116 50.972297, -113.97996 50.972297, -113.979746 50.972298, -113.979525 50.972298, -113.979222 50.972297, -113.978972 50.972297, -113.978885 50.972297, -113.978692 50.972297, -113.978375 50.972295, -113.977924 50.972296, -113.977359 50.972296, -113.977035 50.972296, -113.976624 50.972296, -113.976353 50.972296, -113.97579 50.972295))",2016,432.660909917,9000
BEDDING4,"MULTILINESTRING ((-114.070993 51.133996, -114.070567 51.133833, -114.070228 51.133708, -114.069473 51.133439, -114.069145 51.133328, -114.06854 51.133127, -114.068067 51.132973, -114.067663 51.132836, -114.067485 51.132776, -114.066959 51.132604, -114.066248 51.132367, -114.065482 51.132113, -114.064636 51.131832, -114.064074 51.131648, -114.063265 51.131384, -114.062962 51.131292, -114.062723 51.131223, -114.06252 51.131168, -114.062241 51.131097, -114.061868 51.131005, -114.06162 51.13095, -114.061376 51.130898, -114.061094 51.130844, -114.060755 51.13078, -114.060158 51.130669, -114.059736 51.130592, -114.059467 51.130538, -114.059184 51.13048, -114.058916 51.130417, -114.05875 51.130376, -114.058514 51.130315, -114.058214 51.130229, -114.057908 51.130134, -114.057607 51.130032, -114.057323 51.129929, -114.056857 51.129738, -114.056599 51.129613, -114.056221 51.129435, -114.055579 51.129114, -114.054971 51.128811, -114.054456 51.128547, -114.054159 51.128397, -114.053871 51.128238, -114.053585 51.128081, -114.053198 51.127865, -114.053083 51.1278))",2016,1441.61921916,57000
17AVSE3,"MULTILINESTRING ((-113.986698 51.03789, -113.987487 51.037889, -113.987797 51.037892, -113.988745 51.037889, -113.989356 51.037888, -113.99019 51.03789, -113.990826 51.037893, -113.991296 51.037891, -113.991495 51.03788, -113.991721 51.037868, -113.991861 51.037863, -113.992345 51.037872, -113.992922 51.037877, -113.993052 51.037874))",2016,445.784424505,42000
68STNE7,"MULTILINESTRING ((-113.935053 51.059644, -113.93503 51.062328, -113.935031 51.062795, -113.93503 51.066116, -113.935029 51.066827))",2016,799.036822824,20000
69STSW0,"MULTILINESTRING ((-114.187485 51.037728, -114.187472 51.038405, -114.187466 51.039253, -114.187453 51.040061, -114.187448 51.040291, -114.187447 51.040643, -114.187446 51.040745))",2016,335.605706678,17000
50AVSE4,"MULTILINESTRING ((-113.97606 51.00877, -113.975793 51.00877, -113.975206 51.008771, -113.969754 51.008776, -113.965292 51.008781, -113.961096 51.008785, -113.960395 51.008785, -113.959673 51.008786, -113.9593 51.008786, -113.959267 51.008773, -113.959236 51.008761, -113.959207 51.008754, -113.959189 51.008749, -113.959165 51.008745, -113.959136 51.008741, -113.959108 51.008739, -113.959064 51.008739, -113.958622 51.008738))",2016,1224.93282838,9000
DEERFOOT20A,"MULTILINESTRING ((-113.965543 50.880397, -113.965825 50.880869, -113.965898 50.880991, -113.966037 50.881232, -113.966205 50.881516, -113.96634 50.88175, -113.966583 50.882163, -113.966761 50.882468, -113.966912 50.882726, -113.967005 50.882886, -113.967139 50.883114, -113.967271 50.883338, -113.967412 50.883575, -113.967519 50.883756, -113.967653 50.883984, -113.967831 50.88428, -113.967991 50.884548, -113.96809 50.884718, -113.968257 50.884997, -113.96837 50.885188, -113.968508 50.885419, -113.968576 50.885534, -113.968638 50.885639, -113.96878 50.885882, -113.968972 50.886194, -113.969144 50.886488, -113.969445 50.886989, -113.969602 50.887254, -113.969823 50.887632, -113.96996 50.887855, -113.970244 50.888332, -113.970356 50.888531, -113.970535 50.888821, -113.970667 50.88905, -113.97078 50.889235, -113.971018 50.889636, -113.971156 50.889861, -113.971357 50.890196, -113.971527 50.890476, -113.97176 50.890861, -113.971942 50.891163, -113.972129 50.891474, -113.972246 50.891673, -113.972351 50.891837, -113.972479 50.892054, -113.972607 50.892266, -113.972739 50.892485, -113.972909 50.892772, -113.973028 50.892971, -113.973175 50.893217, -113.973301 50.893428, -113.973456 50.893697, -113.973588 50.893929, -113.9737 50.894132, -113.973819 50.894358, -113.973949 50.894618, -113.974064 50.894864, -113.974158 50.895075, -113.97426 50.895312, -113.974343 50.89552, -113.974432 50.895745, -113.974522 50.895996, -113.974569 50.896134, -113.974638 50.896338, -113.974696 50.89653, -113.97478 50.896823, -113.974836 50.897038, -113.974895 50.897276, -113.97494 50.897482, -113.974983 50.89769, -113.975015 50.897864, -113.975048 50.898059, -113.97508 50.898245, -113.975107 50.89844, -113.975132 50.898678, -113.975145 50.898782, -113.975157 50.898973, -113.975172 50.899154, -113.975185 50.899359, -113.975185 50.899478, -113.97518 50.899649, -113.975176 50.899804, -113.975174 50.899886))",2016,2283.57809588,64000
12AVS9,"MULTILINESTRING ((-114.071481 51.041659, -114.068263 51.041568))",2016,225.897987822,14000
53STW2,"MULTILINESTRING ((-114.161989 51.107956, -114.161565 51.108354, -114.161489 51.108427, -114.161395 51.108515, -114.161307 51.108597, -114.161249 51.10865, -114.161199 51.108696, -114.161102 51.10879, -114.160929 51.108951, -114.160846 51.109031, -114.160734 51.109139, -114.16069 51.109179, -114.16052 51.109343, -114.160401 51.109457, -114.160279 51.109573, -114.160225 51.109623, -114.160108 51.109732, -114.15998 51.10985, -114.159867 51.109959, -114.159775 51.110053, -114.159687 51.110139, -114.159594 51.110234, -114.159495 51.110333, -114.159428 51.1104, -114.159406 51.110424, -114.159384 51.110444, -114.15935 51.110478, -114.159292 51.110535, -114.159217 51.110613, -114.159119 51.110708, -114.159056 51.110766, -114.15899 51.110829, -114.158867 51.110941, -114.15876 51.111043, -114.158691 51.111106, -114.158589 51.111186, -114.158481 51.111282, -114.158304 51.111456, -114.158133 51.111612, -114.157963 51.111774, -114.157851 51.111879, -114.157682 51.112039, -114.157501 51.11221, -114.157346 51.112356, -114.157221 51.112475, -114.157084 51.112609, -114.156985 51.112717, -114.156858 51.112845, -114.156719 51.11297, -114.156562 51.113117, -114.156422 51.113253, -114.156318 51.113345, -114.156244 51.113408, -114.156119 51.113511, -114.156021 51.113601, -114.155868 51.113743, -114.155682 51.11392, -114.155533 51.114083, -114.155455 51.114164, -114.155341 51.11427, -114.155191 51.114412, -114.155002 51.11459, -114.154894 51.114693, -114.154737 51.114839, -114.154619 51.11495, -114.154446 51.115102, -114.154351 51.115183))",2016,965.862667894,12000
37STSW_6B,"MULTILINESTRING ((-114.140983 51.004305, -114.140997 50.994552))",2016,1084.88868759,2000
1STE8,"MULTILINESTRING ((-114.060795 51.042321, -114.060865 51.041358))",2016,107.286064417,22000
52STSE15,"MULTILINESTRING ((-113.946626 50.904893, -113.946563 50.904739, -113.946514 50.904622, -113.946426 50.904405, -113.946296 50.904086, -113.946158 50.903747, -113.946048 50.903482, -113.945944 50.903225, -113.945826 50.902937, -113.94577 50.902803, -113.94573 50.902703, -113.945643 50.902491, -113.945554 50.902273, -113.945426 50.901959, -113.945276 50.901591, -113.945168 50.901331, -113.945064 50.901073, -113.944921 50.900727, -113.944763 50.900336, -113.944612 50.899971, -113.944518 50.899743, -113.944469 50.899622, -113.944433 50.899532, -113.944409 50.899472, -113.944393 50.899434))",2016,627.225401749,44000
HVSTHILLS3,"MULTILINESTRING ((-114.066341 51.153293, -114.066358 51.153307), (-114.066358 51.153307, -114.066435 51.153366), (-114.066358 51.153307, -114.066468 51.153392, -114.066578 51.153476, -114.066664 51.153543, -114.066719 51.153586, -114.067283 51.154021, -114.068103 51.154656, -114.068443 51.154929, -114.068512 51.154988, -114.068605 51.15507, -114.068691 51.155151, -114.068779 51.15524, -114.068869 51.155337, -114.068918 51.155389, -114.068943 51.155417, -114.068999 51.155482, -114.069045 51.155541, -114.0691 51.155607, -114.069153 51.155677, -114.069196 51.155737, -114.069273 51.155846, -114.069327 51.15593, -114.069358 51.155978, -114.06939 51.156034, -114.069504 51.156248, -114.069552 51.15635, -114.069601 51.156468, -114.069632 51.156546))",2016,442.171052154,25000
BARLOW11A,"MULTILINESTRING ((-113.984073 50.998759, -113.984177 50.998867, -113.984325 50.999027, -113.984495 50.999192, -113.984721 50.999405, -113.984945 50.999609, -113.985069 50.999718, -113.985203 50.999838, -113.985971 51.000435, -113.986642 51.000949, -113.98737 51.00136, -113.987762 51.001569, -113.988151 51.001776, -113.988427 51.001915, -113.988827 51.002111, -113.989235 51.002293, -113.989601 51.002461, -113.990101 51.002675, -113.99098 51.003053, -113.991892 51.003448, -113.99263 51.003771, -113.994015 51.004377, -113.994464 51.004558, -113.995396 51.004954, -113.996451 51.005419, -113.997342 51.005812, -113.998089 51.006131, -113.999494 51.006732, -113.999706 51.006826, -113.99993 51.00693, -114.000165 51.007054, -114.000413 51.007194, -114.000637 51.007335, -114.000839 51.007475, -114.001 51.007602, -114.001116 51.007714, -114.001254 51.007873, -114.00137 51.008028, -114.001432 51.008103, -114.001515 51.008234, -114.001571 51.008338, -114.00162 51.00846, -114.001673 51.008637))",2016,1681.73528362,41000
CRWCHLD9,"MULTILINESTRING ((-114.142534 51.093777, -114.142419 51.093705, -114.142379 51.093683, -114.142232 51.093589, -114.142068 51.093488, -114.141913 51.09339, -114.141795 51.093327, -114.141633 51.093227, -114.141527 51.093162, -114.141386 51.093074, -114.141302 51.093027, -114.141204 51.092971, -114.141098 51.092904, -114.140997 51.092842, -114.140891 51.092781, -114.140801 51.092725, -114.14062 51.092616, -114.140463 51.092528, -114.140351 51.092459, -114.140224 51.092383, -114.140066 51.092289, -114.139936 51.092215, -114.139786 51.092124, -114.139614 51.092021, -114.139452 51.091926, -114.139239 51.091799, -114.138992 51.091651, -114.138734 51.091489, -114.138639 51.091428, -114.13851 51.091343, -114.138363 51.091243, -114.138207 51.091133, -114.138095 51.09105, -114.137991 51.090974, -114.137819 51.090842, -114.137677 51.090732, -114.137533 51.090621, -114.137415 51.090529, -114.137294 51.090439, -114.137143 51.090328, -114.136956 51.090196, -114.136794 51.090091, -114.136553 51.089943, -114.136302 51.089802, -114.136026 51.089655, -114.135781 51.089511, -114.135548 51.089375, -114.135361 51.089259, -114.13473 51.088749))",2016,783.51287818,88000
DEERFOOT14,"MULTILINESTRING ((-114.02478 50.953358, -114.025003 50.953438, -114.02513 50.953489, -114.025567 50.953672, -114.025625 50.953683, -114.025787 50.95375, -114.025976 50.953836, -114.026028 50.953861, -114.02617 50.953933, -114.026409 50.954056, -114.02666 50.954198, -114.026752 50.954255, -114.026926 50.954356, -114.027197 50.954537, -114.027463 50.954721, -114.027706 50.954911, -114.027955 50.955117, -114.028208 50.95535, -114.028418 50.955565, -114.0286 50.955769, -114.028777 50.955985, -114.028934 50.956195, -114.029071 50.956403, -114.029191 50.956611, -114.029305 50.956821, -114.029403 50.957029, -114.029501 50.957257, -114.029564 50.957414, -114.029624 50.957577, -114.029687 50.957758, -114.029762 50.95799, -114.029846 50.958247, -114.029918 50.958475, -114.030001 50.958737, -114.030089 50.959013, -114.030185 50.959306, -114.03025 50.959513, -114.030318 50.959731, -114.030389 50.95994, -114.03042 50.960097, -114.030453 50.960256, -114.030466 50.960386, -114.030585 50.960784, -114.030777 50.961356, -114.03099 50.962011, -114.03116 50.962554, -114.031237 50.962724, -114.031316 50.962938, -114.031372 50.963105, -114.031459 50.963378, -114.031583 50.963766, -114.031688 50.964087, -114.031787 50.964373, -114.031891 50.964655, -114.031975 50.964873, -114.032072 50.965098, -114.032169 50.965331, -114.032383 50.965772, -114.032515 50.966029, -114.032812 50.966565, -114.032967 50.966826, -114.033138 50.96709, -114.033263 50.967276, -114.033433 50.96753, -114.033608 50.967767, -114.033627 50.967801))",2016,1774.16922554,151000
MACLEOD6,"MULTILINESTRING ((-114.058408 51.041288, -114.058338 51.042251))",2016,107.286055104,26000
1STW3,"MULTILINESTRING ((-114.065349 51.04753, -114.0653 51.048459))",2016,103.381063816,10000
CNYNMDWS10,"MULTILINESTRING ((-114.01747 50.932085, -114.018461 50.931899, -114.018515 50.93189, -114.018603 50.931879, -114.018718 50.931863, -114.018835 50.931849, -114.018942 50.931836, -114.019016 50.93183, -114.019124 50.93182, -114.019227 50.931811, -114.019336 50.931803, -114.019456 50.931796, -114.019577 50.931792, -114.019711 50.931786, -114.019857 50.931784, -114.020062 50.931784, -114.020396 50.931789, -114.021986 50.931815, -114.023025 50.931832, -114.02341 50.931839, -114.023686 50.931842, -114.024116 50.93185, -114.024476 50.931856, -114.025034 50.931865, -114.025619 50.931875, -114.026063 50.931881))",2016,608.235051565,8000
17AVSW1A,"MULTILINESTRING ((-114.18746 51.037966, -114.187515 51.037966, -114.187592 51.037966, -114.187655 51.037967, -114.187755 51.037968, -114.187867 51.037968, -114.187972 51.037968, -114.188086 51.037968, -114.188131 51.037967, -114.188334 51.037967, -114.188571 51.03797, -114.188777 51.037969, -114.188968 51.037968, -114.189181 51.037965, -114.189361 51.037965, -114.1896 51.037961, -114.189824 51.037957, -114.190051 51.037952, -114.190277 51.037943, -114.190429 51.037938, -114.190724 51.037926, -114.190953 51.037919, -114.191151 51.037911, -114.191404 51.037899, -114.191642 51.037888, -114.191849 51.037877, -114.191956 51.037872, -114.192083 51.037869, -114.192178 51.037866, -114.192264 51.037865, -114.192394 51.037863, -114.192489 51.037862, -114.192565 51.037863, -114.192633 51.037862, -114.192765 51.037863, -114.19289 51.037864, -114.193009 51.037865, -114.193139 51.037865, -114.193222 51.037866, -114.193267 51.037866, -114.193382 51.037867, -114.193426 51.037867, -114.193489 51.037868, -114.193685 51.037869, -114.193825 51.037872, -114.19396 51.037877, -114.194074 51.037882, -114.194205 51.037887, -114.194316 51.037892, -114.1944 51.037898, -114.194549 51.037906, -114.194647 51.037913, -114.194781 51.03792, -114.194871 51.037926, -114.19505 51.037937, -114.195135 51.037942, -114.195213 51.037947, -114.195292 51.037952, -114.195362 51.037957, -114.195416 51.03796, -114.195511 51.037966, -114.195605 51.037972, -114.195724 51.037978, -114.195807 51.037982, -114.195907 51.037987, -114.195987 51.037991, -114.196098 51.037995, -114.196166 51.037998, -114.196218 51.038, -114.196268 51.038001, -114.196323 51.038003, -114.19641 51.038005, -114.196459 51.038007, -114.196564 51.038008, -114.196612 51.03801, -114.196667 51.03801, -114.196765 51.038011, -114.196875 51.038012, -114.196964 51.038013, -114.197068 51.038013, -114.197145 51.038013, -114.197238 51.038013, -114.197412 51.038014, -114.197567 51.038014, -114.197685 51.038014, -114.197828 51.038014, -114.197931 51.038014, -114.198008 51.038014, -114.198185 51.038014, -114.198326 51.038014, -114.198474 51.038014, -114.198591 51.038014, -114.198685 51.038014, -114.198885 51.038014, -114.199051 51.038014, -114.199159 51.038014, -114.199277 51.038014, -114.199382 51.038014, -114.199508 51.038014, -114.19961 51.038014, -114.199784 51.038014, -114.200033 51.038015, -114.200247 51.038014, -114.200411 51.038014, -114.200638 51.038014, -114.200885 51.038014, -114.2011 51.038014, -114.201358 51.038014, -114.201426 51.038014, -114.201548 51.038014, -114.201724 51.038014, -114.201837 51.038015, -114.201979 51.038014, -114.202126 51.038014, -114.202351 51.038014, -114.202492 51.038014, -114.202627 51.038014, -114.202812 51.038014, -114.20304 51.038015, -114.203288 51.038015, -114.203397 51.038013, -114.203459 51.038014, -114.203523 51.038014, -114.203566 51.038014, -114.203602 51.038013, -114.203794 51.038013, -114.204013 51.038013, -114.204233 51.038013, -114.204412 51.038013, -114.204734 51.038013, -114.204934 51.038013, -114.20505 51.038013, -114.205114 51.038013, -114.205286 51.038013, -114.205413 51.038013, -114.205462 51.038014, -114.205518 51.038013, -114.205642 51.038013, -114.205722 51.038013, -114.205845 51.038013, -114.206018 51.038013, -114.20619 51.038013, -114.206328 51.038013, -114.206388 51.038013, -114.206562 51.038013, -114.206729 51.038013, -114.206935 51.038013, -114.2071 51.038013, -114.207228 51.038013, -114.207402 51.038013, -114.207475 51.038013, -114.20762 51.038013, -114.207735 51.038013, -114.207885 51.038012, -114.208017 51.038013, -114.208231 51.038013, -114.208379 51.038013, -114.208635 51.038013, -114.208787 51.038012, -114.208943 51.038012, -114.20908 51.038012, -114.209243 51.038012, -114.209359 51.038013, -114.209473 51.038012, -114.209614 51.038012, -114.20974 51.038012, -114.209912 51.038012, -114.210072 51.038012, -114.210277 51.038012, -114.210466 51.038012, -114.21059 51.038012, -114.210803 51.038012, -114.210922 51.038012, -114.211048 51.038012))",2016,1655.32080283,22000
SUNPARKPZ,"MULTILINESTRING ((-114.055249 50.904344, -114.055946 50.904329, -114.056248 50.904289, -114.05673 50.904163, -114.057333 50.903861, -114.057651 50.903583, -114.057896 50.903153, -114.05794 50.902639, -114.057904 50.902232, -114.057764 50.90193, -114.057172 50.901398, -114.056823 50.901252, -114.056224 50.901067, -114.05524 50.901016))",2016,606.296729937,7000
CENTRE13_C,"MULTILINESTRING ((-114.06301 51.045524, -114.063076 51.044596))",2016,103.297545167,5000
29STNW2,"MULTILINESTRING ((-114.129616 51.055365, -114.129533 51.055462, -114.129515 51.055506, -114.129502 51.055554, -114.1295 51.055841, -114.129505 51.056003, -114.129508 51.05645, -114.129517 51.05691, -114.129507 51.057367, -114.129497 51.057801, -114.129504 51.058261, -114.129511 51.058705, -114.129505 51.059154, -114.129498 51.059605, -114.129523 51.060188, -114.129532 51.060294, -114.129565 51.060403, -114.129608 51.060511, -114.129648 51.060575, -114.129715 51.060673, -114.129776 51.060741, -114.129857 51.060818, -114.129944 51.060889, -114.130399 51.061218, -114.130525 51.061307, -114.130627 51.061395, -114.130728 51.061496, -114.130817 51.061606, -114.130893 51.061734, -114.130944 51.061843, -114.13097 51.061953, -114.13099 51.06209, -114.131001 51.062255, -114.131017 51.062514, -114.131035 51.062736, -114.131054 51.063064, -114.131068 51.063316, -114.131075 51.063483, -114.131068 51.063561, -114.131045 51.063658, -114.131024 51.063739, -114.131015 51.063842, -114.130986 51.063963, -114.130957 51.064077, -114.130919 51.064195, -114.130869 51.064319, -114.130804 51.06446, -114.130731 51.064592), (-114.129156 51.068469, -114.129157 51.068376))",2016,1071.17521347,11000
19STNEA1,"MULTILINESTRING ((-114.013185 51.139432, -114.013185 51.139628, -114.013187 51.13977, -114.013183 51.139969, -114.013184 51.140262, -114.013184 51.140594, -114.013184 51.141025, -114.013185 51.141344, -114.013187 51.141736, -114.013186 51.142093, -114.013185 51.142663, -114.013187 51.143243, -114.013188 51.14337))",2016,438.026308565,3000
85STSW_3B,"MULTILINESTRING ((-114.210942 51.030556, -114.210953 51.026922, -114.210547 51.026412, -114.210471 51.025706, -114.210958 51.025161, -114.21096 51.021542, -114.211387 51.020372, -114.211637 51.020364))",2016,1169.53605388,6000
12MILE1,"MULTILINESTRING ((-114.257136 51.143358, -114.256903 51.14358, -114.256891 51.143606, -114.256872 51.143649, -114.25685 51.143699, -114.256825 51.143756, -114.256803 51.143804, -114.256786 51.143847, -114.256771 51.143884, -114.256756 51.143929, -114.256737 51.143982, -114.256731 51.144002, -114.256723 51.144031, -114.256714 51.144072, -114.256707 51.144106, -114.256698 51.144183, -114.256697 51.144229, -114.256698 51.144277, -114.256701 51.144316, -114.256707 51.144365, -114.256716 51.144411, -114.256727 51.14446, -114.256736 51.144495, -114.256755 51.14454, -114.256777 51.144587, -114.256792 51.144629, -114.256812 51.144671, -114.256831 51.144708, -114.256853 51.14475, -114.256869 51.144779, -114.256896 51.144822, -114.256936 51.144887, -114.256969 51.144937, -114.257004 51.144987, -114.257039 51.145038, -114.257058 51.145064, -114.257075 51.14509, -114.257097 51.145121, -114.257122 51.145157, -114.257144 51.145189, -114.257165 51.145219, -114.257194 51.145264, -114.25723 51.145319, -114.257257 51.145365, -114.257281 51.145402, -114.257292 51.145424, -114.25731 51.145455, -114.257327 51.145487, -114.25734 51.145514, -114.257353 51.145543, -114.257378 51.145601, -114.257389 51.145634, -114.257401 51.145674, -114.25741 51.145716, -114.257418 51.14576, -114.257427 51.145811, -114.257432 51.145847, -114.257438 51.145904, -114.257442 51.145945, -114.257445 51.145997, -114.257446 51.146028, -114.257447 51.146069, -114.25745 51.146222, -114.25745 51.146373, -114.25745 51.146508, -114.257451 51.146626, -114.257451 51.146728, -114.257451 51.146903, -114.257451 51.147021, -114.257451 51.147134, -114.257452 51.147248, -114.257452 51.147342, -114.257452 51.14742, -114.257452 51.147579, -114.257452 51.14766, -114.257452 51.147783, -114.257453 51.147862, -114.257453 51.147978, -114.257453 51.148069, -114.257454 51.148152, -114.257454 51.148249, -114.257454 51.148328, -114.257454 51.148371, -114.257454 51.148433))",2016,579.751157858,17000
DEERFOOT12A,"MULTILINESTRING ((-114.037179 50.982842, -114.037109 50.982938, -114.036965 50.983146, -114.036854 50.983303, -114.036713 50.983513, -114.036566 50.98376, -114.036388 50.984028, -114.036248 50.984255, -114.036111 50.984495, -114.035961 50.984772, -114.035842 50.985005, -114.035674 50.985368, -114.035548 50.985678, -114.035438 50.985957, -114.035359 50.986173, -114.035257 50.986503, -114.035203 50.986687, -114.035128 50.986981, -114.035078 50.987196))",2016,508.193753365,115000
