year,segment_name,the_geom,length_m,volume
2017,PEIGAN1A,"MULTILINESTRING ((-113.9769661401 51.0149227653, -113.9769861567 51.0149248846, -113.9770185412 51.0149289813, -113.9770509238 51.0149338206, -113.9770791855 51.0149405181, -113.9771027358 51.0149468425, -113.9771274638 51.0149550272, -113.9771543797 51.0149655784, -113.9781081941 51.0150013812, -113.9791154123 51.0150391796, -113.9792879034 51.0150760154, -113.979335041 51.0150841406, -113.9793693944 51.0150903541, -113.9794021515 51.0150937023, -113.9794588805 51.0150951453, -113.979815228 51.0151066666, -113.9807581906 51.0151354042, -113.9812208077 51.0151483663, -113.9812703455 51.0151498063, -113.981305501 51.0151502893, -113.9813422567 51.0151479084, -113.9814413367 51.015136464, -113.9816147277 51.0151158042, -113.9824404886 51.0151586605, -113.9827865778 51.0151775743, -113.9830836934 51.0151919268, -113.9833982231 51.01520628, -113.9837500456 51.0152192954, -113.9847524753 51.0152551829, -113.9851986955 51.0152721509, -113.9859622331 51.0153000442, -113.9870517137 51.0153407058, -113.9895880109 51.0154068895, -113.9910352709 51.0154228513, -113.9932213733 51.015424302, -113.9948706471 51.0154207803, -113.9969312416 51.0154128849, -113.9970067902 51.0154247876, -113.9970555049 51.015428079, -113.997347981 51.0154321027, -113.9975114673 51.0154313251, -113.997801064 51.0154208021, -113.9982325253 51.015413649, -113.9988206433 51.015410537, -113.9990667719 51.015404125, -113.9991569834 51.0154002736, -113.9992263846 51.0153997598, -113.9992624341 51.0153987955))",1568.38083393,21000
2017,6AVS4,"MULTILINESTRING ((-114.0786648902 51.047892264, -114.0811175597 51.0479621943))",172.152975528,21000
2017,STGEORGEDR1,"MULTILINESTRING ((-114.0319310263 51.0477140587, -114.0319307115 51.0478556668, -114.0319302998 51.0480409417, -114.0319298415 51.0482476012, -114.0319489927 51.0482609251, -114.0319621498 51.0482701917, -114.031975309 51.0482825472, -114.03198794 51.0483001905, -114.0319925881 51.0483109221, -114.0319949163 51.0483201908, -114.0319951815 51.0483304363, -114.0319962213 51.0483492317, -114.0319970188 51.0483848461, -114.0319980871 51.0484366419, -114.0319988324 51.0484771773, -114.0319988601 51.0485215785, -114.0319931542 51.0485777595, -114.0319860103 51.0486294102, -114.0319716824 51.0486783443, -114.0319487342 51.0487227508, -114.0319171697 51.048768065, -114.031874119 51.0488161007, -114.031812401 51.0488686724, -114.0317391905 51.0489167163, -114.0316631012 51.0489557002, -114.0315913068 51.0489747482, -114.0315181748 51.0489836543))",157.875244239,11000
2017,5AVS3,"MULTILINESTRING ((-114.0810501772 51.0489015967, -114.0785973536 51.0488330899))",172.153206937,17000
2017,OBCR1,"MULTILINESTRING ((-114.17969257 51.059967481, -114.1798519514 51.060046812, -114.1802593621 51.0602461823, -114.1809058972 51.0605667826, -114.1813729505 51.0607918527, -114.1817062833 51.0609497913, -114.181942996 51.0610732493, -114.182197996 51.061193531, -114.1824218274 51.0613172481, -114.1827008854 51.0614608383, -114.1828607918 51.0615411793, -114.1830274197 51.061633189, -114.1832511106 51.0617711776, -114.183653821 51.0620445953, -114.1838910776 51.0621863138, -114.1843652993 51.0624940606, -114.1845037497 51.0626119805, -114.1847104042 51.0627911158, -114.184812472 51.0628610706, -114.1848387009 51.0628780404, -114.1849934482 51.0629768812, -114.1855373664 51.0633488801, -114.1858440378 51.0635612927, -114.1861662876 51.0637856693, -114.1866310491 51.0641082918, -114.187107716 51.0644367151, -114.1873086137 51.064561105, -114.1875683103 51.0647278963, -114.1875879787 51.0647364068, -114.1876238715 51.0647393383, -114.1876734035 51.0647377161, -114.1885958586 51.0652911044, -114.1887335784 51.0653727191, -114.1893343363 51.065724405, -114.1894793617 51.065814326, -114.1895742076 51.0658718331, -114.189677359 51.0659311831, -114.1897807279 51.0659926991, -114.1899339772 51.0660787847, -114.1900522452 51.0661442992, -114.1901585526 51.0662023014, -114.1902597721 51.0662577857, -114.1903723791 51.0663130563, -114.1904650477 51.0663571563, -114.1905768847 51.0664092716, -114.1907075506 51.0664652415, -114.190850232 51.0665206577, -114.1909971639 51.0665760676, -114.1911376856 51.0666234411, -114.1912931091 51.0666754836, -114.1914150604 51.0667088759, -114.1914575003 51.0667224015, -114.1915171773 51.0667374478, -114.1916460546 51.0667691932, -114.1917982 51.0668035181, -114.1919391174 51.0668330589, -114.1920588151 51.0668543406, -114.1921602241 51.0668719861, -114.1922948684 51.0668921947, -114.1924075257 51.0669076928, -114.1925163922 51.0669211339, -114.1926235951 51.0669335294, -114.1927860178 51.0669463434, -114.1928965235 51.0669545423, -114.1930070262 51.0669616946, -114.1931457677 51.0669682751, -114.1932961429 51.0669758845, -114.1934132814 51.0669809299, -114.1935418028 51.066983647))",1271.98747096,17000
2017,NORTHLAND1A,"MULTILINESTRING ((-114.1412198911 51.0960522285, -114.141186504 51.0967679949, -114.1411899579 51.0984828712, -114.1411944525 51.0988537016, -114.1412123319 51.1004157987, -114.1412239353 51.1006449417, -114.1412305256 51.100755413, -114.1412414062 51.1008419235, -114.1412490122 51.1008789696, -114.1412628089 51.1009529899, -114.1412681364 51.1009788836))",548.243834782,11000
2017,14STSW1A,"MULTILINESTRING ((-114.0947063494 50.9795182694, -114.0947073098 50.9796249807, -114.0947128718 50.9802428593, -114.0947145893 50.980746828, -114.0947195453 50.9815132991, -114.0947213244 50.982375063, -114.0947247634 50.9832427353, -114.0947282196 50.9841460747, -114.0947206663 50.9851829263, -114.0947192033 50.9859960475, -114.0947204944 50.9866227488, -114.0947188752 50.9875397086, -114.0947283224 50.988000709, -114.0947267376 50.9881122497))",955.976755724,73000
2017,MACLEOD2,"MULTILINESTRING ((-114.0579757864 51.0473062525, -114.0579553261 51.047507896, -114.0579569394 51.0475640837, -114.0579340448 51.0477602438, -114.0579342074 51.0478883294, -114.057908351 51.0482496538))",105.088854724,18000
2017,12AVS16,"MULTILINESTRING ((-114.0450281737 51.0414999184, -114.0447570107 51.0413885543, -114.044418819 51.0412503087, -114.0441598536 51.0411523918, -114.0440029564 51.0410986383, -114.0430137719 51.0411578651, -114.0427863782 51.0411736303, -114.0419280906 51.0412331199))",230.939140888,7000
2017,64AVNE7,"MULTILINESTRING ((-113.9652021419 51.1105604658, -113.9647573313 51.110560329, -113.9635062956 51.1105613953, -113.9614140293 51.1105621827, -113.9592845197 51.1105615307, -113.957182561 51.1105621356, -113.9568178617 51.110563643, -113.9558751024 51.1105650683))",653.114864696,18000
2017,BARLOW14,"MULTILINESTRING ((-113.9789743698 50.9430915864, -113.9793086583 50.9434756304, -113.9795521534 50.9436755051, -113.979862861 50.9439235604, -113.9801645179 50.9441775477, -113.9803319991 50.9443355005, -113.9805085609 50.9445358886, -113.9806401583 50.9447066006, -113.9807487163 50.9448752257, -113.9808375253 50.9450396851, -113.9809131727 50.9451958159, -113.9809690659 50.9453561075, -113.9810245853 50.9455755489, -113.9810968602 50.9459315097, -113.9811559519 50.9463291015, -113.981131813 50.9465886131, -113.9811609579 50.9468405045, -113.9811930827 50.9474528026, -113.9812232635 50.9483429982, -113.9812228976 50.9488060724, -113.9812353622 50.9491360642, -113.981220979 50.9493434629, -113.9812963582 50.9498938598, -113.9812534052 50.9501291657, -113.9812605381 50.9502918863, -113.9812568312 50.9503792017, -113.9812495783 50.9505146106, -113.9812515073 50.9507041293, -113.9812476543 50.951370213, -113.9812169899 50.9515397544, -113.9811624502 50.9517182262, -113.9812053969 50.952311529, -113.9813628463 50.952663711, -113.9812662199 50.9534592672, -113.9812659026 50.9542202617, -113.9812706427 50.9557095265, -113.981273437 50.957578652, -113.9812727196 50.9578196002, -113.9812693998 50.9586348907, -113.9812747652 50.9593172196, -113.9812756542 50.9594711335, -113.9812774383 50.9598276403, -113.9812773725 50.9599912864, -113.9812763531 50.9601016099, -113.9812772975 50.9601744063, -113.9812869891 50.9602757407, -113.9812937736 50.9603497032, -113.9813073383 50.9604623718, -113.9813238325 50.9605963198, -113.9813442148 50.9607401689, -113.9813597129 50.9608312046, -113.9813801093 50.9609436054, -113.9813888404 50.9610164031, -113.9814053609 50.9610822133, -113.981430634 50.9611707378, -113.9814596309 50.9612884602, -113.98151114 50.9614905514, -113.9815694308 50.9617189939, -113.9816121928 50.9618861411, -113.9816752352 50.9621643773, -113.9816855357 50.9622226638, -113.9816974023 50.9623134605, -113.981731013 50.9625468219, -113.9817517842 50.9626987421, -113.9817851323 50.9629280939, -113.9817982634 50.963047867, -113.981817039 50.9632258979, -113.9818577287 50.9634893556))",2314.48328971,29000
2017,42AVS2,"MULTILINESTRING ((-114.0643442482 51.0159240472, -114.0641919419 51.0159300453, -114.0639197209 51.015942257, -114.0636475026 51.0159554731, -114.0634134863 51.0159646468, -114.0631205618 51.0159708366, -114.0623952706 51.0159679206, -114.0623235886 51.015989395, -114.062286989 51.0160024821, -114.0622547884 51.0160226992, -114.0617576927 51.0160028151, -114.061214459 51.0159810832, -114.0609534577 51.0159706414, -114.0598710888 51.0159276023, -114.057567826 51.0159292326, -114.0556019062 51.015931186, -114.053996586 51.01592901, -114.0531241089 51.0159294099))",789.634509323,26000
2017,PEIGAN1,"MULTILINESTRING ((-113.9992624341 51.0153987955, -113.9995504068 51.0153910891, -113.9995971208 51.0153896419, -114.0002453544 51.0153621399, -114.0007238791 51.0153340017, -114.0014367399 51.015275175, -114.0016313733 51.0152586375, -114.0018833431 51.0152340296, -114.0020754521 51.0152146957, -114.0022411117 51.0151997543, -114.0023552633 51.0151892079, -114.0024483485 51.0151832925))",224.985724329,29000
2017,RIVERFRONT2_A,"MULTILINESTRING ((-114.0528144043 51.0493572915, -114.0527447109 51.0493079415, -114.052535722 51.049242194, -114.052052428 51.0490805484, -114.0516474977 51.0489353272, -114.0514907313 51.0488613238))",108.48775453,12000
2017,SETONBV2,"MULTILINESTRING ((-113.95731206 50.8824366373, -113.957171481 50.8824699693, -113.9570381558 50.8825009717, -113.9568890887 50.8825366546, -113.956740024 50.882571165, -113.9565850889 50.8826067276, -113.9564249127 50.8826435772, -113.956260108 50.8826815981, -113.9561258575 50.8827114268, -113.9559717142 50.8827457438, -113.9558124642 50.8827820076, -113.9556726594 50.8828118347, -113.955499072 50.8828503303, -113.955323157 50.8828883446, -113.9551787213 50.8829199268, -113.9549995957 50.8829577057, -113.9548403465 50.8829916255, -113.9545437258 50.8830546947, -113.954377069 50.88308861, -113.9542298553 50.8831201899, -113.9540783665 50.8831503961, -113.9539320803 50.8831790462, -113.9537463862 50.883216345, -113.9535936169 50.8832473358, -113.953421407 50.8832806614, -113.9532691165 50.8833114649, -113.9530820913 50.8833471278, -113.9529033973 50.8833833799, -113.9526373851 50.8834329599, -113.9524716551 50.8834639439, -113.9521812798 50.8835187649, -113.9519998118 50.8835509133, -113.9517902957 50.8835887943, -113.9516032715 50.8836226973, -113.9514162462 50.8836560138, -113.9512021326 50.8836931781, -113.9509938121 50.8837294148, -113.9507558663 50.8837709113, -113.9505368981 50.8838070673, -113.9503109872 50.8838444677, -113.9500189134 50.8838922227, -113.9497948556 50.8839290368, -113.9496009954 50.8839592836, -113.9494102691 50.8839890802, -113.9492889808 50.8840089476, -113.9491694782 50.8840267174, -113.9489684044 50.884057343, -113.9487239778 50.8840947313, -113.9485199073 50.8841243336, -113.9483264033 50.8841535411, -113.9480995691 50.8841862494, -113.9478205627 50.8842276291, -113.9476113195 50.8842585859, -113.9474289254 50.8842848679, -113.9472563564 50.8843105077, -113.9470637767 50.8843391283, -113.9468625969 50.884368061, -113.946618169 50.8844036874, -113.9463959611 50.8844363945, -113.9462695329 50.8844550032, -113.9461352824 50.884473689, -113.9460408426 50.884488878, -113.9459660053 50.8844988744, -113.9459241042 50.8844787202, -113.9458981705 50.8844691788, -113.9458755811 50.8844617561, -113.9458454595 50.8844532708, -113.9457960918 50.8844415996, -113.9457341686 50.8844320414, -113.9456672154 50.8844277742, -113.9456479658 50.8844277653, -113.9456010921 50.8844309205, -113.945311453 50.8844736701, -113.9449625877 50.8845247958, -113.9446137217 50.8845759213, -113.9442648549 50.8846270449, -113.9439159888 50.8846781684, -113.9435671205 50.8847292899, -113.9432182514 50.8847804113, -113.9428693816 50.8848315307, -113.942520511 50.8848826491, -113.9422944889 50.8849156279, -113.9422417517 50.8849214264, -113.9421639109 50.8849237702, -113.9419931605 50.8849295092, -113.9418630063 50.8849339449, -113.9418228317 50.8849344544, -113.9418010711 50.8849329871, -113.9417849632 50.884930862, -113.9417550481 50.8849246251))",1136.02997149,13000
2017,11STNE1A,"MULTILINESTRING ((-114.0364036437 51.1121595028, -114.0364034486 51.1119875942, -114.0364026287 51.1118165002, -114.0364018074 51.1116454053, -114.0364059878 51.1112550473, -114.036426459 51.1112049687, -114.0364488713 51.1111445613, -114.036460957 51.1111114945, -114.0364706482 51.1110843491, -114.0364791219 51.1110526167, -114.0364857642 51.1110094167, -114.0364936141 51.1109562766, -114.0364954202 51.1109285394, -114.0364978466 51.110896024, -114.036500227 51.1108648958, -114.0365020065 51.1108106114, -114.0365007433 51.1107479172, -114.0365019062 51.110683311, -114.0365018551 51.1106147363, -114.0365021793 51.1105640895))",178.117935143,7000
2017,14STNW15D,"MULTILINESTRING ((-114.0947098692 51.0385099762, -114.0947123264 51.0389829678, -114.094710929 51.0394641477))",106.140464065,27000
2017,53STW2,"MULTILINESTRING ((-114.161989358 51.1079560162, -114.1615653272 51.1083543307, -114.1614892732 51.108426744, -114.1613951005 51.1085152035, -114.161306999 51.108596613, -114.1612492799 51.1086504588, -114.1611994073 51.1086959989, -114.1611017845 51.1087897579, -114.1609291502 51.1089507376, -114.1608455943 51.1090314159, -114.1607342164 51.1091390995, -114.1606896536 51.1091788447, -114.1605198534 51.1093429824, -114.160401383 51.109457077, -114.1602788559 51.1095730963, -114.1602251839 51.1096230947, -114.1601081293 51.1097315712, -114.159979511 51.1098495196, -114.1598671175 51.1099591248, -114.1597749898 51.1100526999, -114.1596873463 51.1101393772, -114.1595942054 51.1102342336, -114.159494981 51.1103329386, -114.1594281562 51.1103995971, -114.1594059489 51.1104239353, -114.1593836973 51.1104436727, -114.1593502501 51.110477736, -114.1592921723 51.1105345254, -114.1592165554 51.1106127771, -114.1591191054 51.1107076084, -114.1590560597 51.1107659326, -114.1589896416 51.1108291446, -114.1588674432 51.110941478, -114.1587597973 51.1110427576, -114.1586906458 51.1111057762, -114.1585888553 51.1111856506, -114.1584811882 51.1112819138, -114.1583035048 51.1114560293, -114.1581326138 51.1116117749, -114.1579634589 51.1117739986, -114.1578506773 51.1118789071, -114.1576822647 51.1120390977, -114.1575011369 51.1122099768, -114.1573456356 51.112355981, -114.1572208996 51.112474945, -114.1570842135 51.1126090446, -114.1569851533 51.1127171746, -114.1568575673 51.1128449078, -114.1567191361 51.1129703693, -114.156561921 51.1131174544, -114.1564218057 51.1132526383, -114.1563175452 51.1133445745, -114.1562436014 51.1134076709, -114.1561186925 51.1135113362, -114.1560207599 51.1136009911, -114.155867846 51.1137432474, -114.1556816792 51.1139201336, -114.1555325169 51.1140833708, -114.1554554052 51.1141636833, -114.1553413863 51.1142701615, -114.1551910312 51.1144122661, -114.1550020498 51.1145899945, -114.1548937522 51.1146932239, -114.1547368012 51.1148394701, -114.1546191636 51.1149496462, -114.1544460453 51.1151024712, -114.1543513565 51.1151830382))",965.862667894,12000
2017,8STW1D,"MULTILINESTRING ((-114.0810806832 51.0489088213, -114.0809917629 51.0498507835))",104.967447498,8000
2017,RUNDLH2,"MULTILINESTRING ((-113.9613246084 51.0716292522, -113.9606191586 51.0716226448, -113.9602916045 51.0716246933, -113.9599640503 51.0716267409, -113.9596364962 51.0716287867, -113.959308942 51.0716308324, -113.9592573854 51.0716131821, -113.9592146006 51.0715996791, -113.9591779243 51.0715927298, -113.9591388016 51.071586551, -113.9591015112 51.0715834545, -113.9590581045 51.0715826689, -113.9589425555 51.0715822427, -113.9588228978 51.0715825782, -113.9586805933 51.0715821369, -113.9586000298 51.0715821048, -113.958503976 51.0715821319, -113.958312912 51.0715814769))",212.154516362,9000
2017,8STW8,"MULTILINESTRING ((-114.0820634687 51.0351394536, -114.082004178 51.0352104666, -114.081964316 51.0352668711, -114.081926818 51.0353314339, -114.0818916997 51.0354123159, -114.0818647819 51.0354783546, -114.0818472672 51.0355436459, -114.0818311792 51.0356216792, -114.0818230856 51.0356980906, -114.0818185441 51.0357885944, -114.0818186769 51.0360348415, -114.0817860362 51.0364852157, -114.0818202125 51.0369262522, -114.0817756907 51.0373804255, -114.0817913212 51.0378147578))",300.67366628,8000
2017,17AVSW12,"MULTILINESTRING ((-114.0817913212 51.0378147578, -114.0793581309 51.0378128439, -114.0782965367 51.037811993, -114.0768680179 51.0378108323, -114.075567867 51.0378210466, -114.0748755896 51.0378255833, -114.074529728 51.0378282667, -114.0741894088 51.0378300753))",533.162234836,15000
2017,SYMONSVALLEY3,"MULTILINESTRING ((-114.1330631361 51.1698063128, -114.1336802416 51.1718831871, -114.1337603368 51.1729233122, -114.1336912797 51.1738153638, -114.1332816491 51.1778909188, -114.1332135374 51.1785063047, -114.1332099208 51.1788046893, -114.1332737906 51.179235296, -114.1334767888 51.179817748, -114.1336475532 51.1802019453, -114.1339133277 51.1808265485, -114.1341241353 51.181305242, -114.134362847 51.1818510639, -114.1350722562 51.1832198148))",1515.39741146,9000
2017,61AVSE2A,"MULTILINESTRING ((-113.9959654443 50.9984758591, -113.9949967817 50.9984483425, -113.9943749264 50.9984698439, -113.9929023051 50.9986902279, -113.9920682232 50.9987908906, -113.9917967823 50.998807735, -113.9906725988 50.9988044951, -113.9866509115 50.9985502787))",659.380486238,6000
2017,17AVSE5,"MULTILINESTRING ((-113.9643507501 51.0378289466, -113.9635985741 51.0378287138, -113.9628422245 51.0378284749, -113.9627736755 51.0378282508, -113.9627240996 51.0378288877, -113.9623854949 51.0378281266, -113.9621120622 51.0378282396, -113.9613705701 51.0378279969, -113.9606250044 51.0378562707, -113.959886565 51.0378572233, -113.9593719392 51.0378575032, -113.9589698897 51.0378549678, -113.958837632 51.0378549213, -113.9586478698 51.0378548543, -113.9585021856 51.0378555264, -113.9584553781 51.0378551951, -113.9584183251 51.0378545419))",416.160555015,26000
